"x","y","Epi-mesenchymal cells","Vascular endothelial cells","Immature myocardial cells","Endocardial cells","Erythrocytes","Cardiomyocytes","Mural cells","TMSB4X high cells","Fibroblast cells","Epi-epithelial cells","Valve cells","Macrophages"
17482,13354,0.0240369451957453,0.077509156177217,0.314253967829981,0.114577942653016,0.0364769586744766,0.166079734235674,0.0311010259794063,0.0127131408833199,0.054080875454455,0.0397895765457937,0.11112500999804,0.0182556663728765
12780,17703,0.0304788578943394,0.0106234301013452,0.0071279765223293,0.0136890486658735,0.0251373077916834,0.0103402308260659,0.0259914831702081,0.0148206975687057,0.151516259549957,0.677294253898014,0.018459357174019,0.0145210968374591
12079,13606,0.0883191352099364,0.061304873499674,0.17481211061537,0.0877170248034996,0.0437847395527674,0.153205378567848,0.0639354798844039,0.0312777458655651,0.0600024910107343,0.0335435267504708,0.171694785591205,0.0304027086485258
12765,9988,0.0318094725031606,0.206877904173757,0.210513718490272,0.1108066232665,0.0418604689474344,0.149330499429405,0.0352309858802229,0.021278735447355,0.0552997537221725,0.0236605067775383,0.089590528089529,0.0237408032726541
13884,15290,0.0942251850714223,0.140731821175035,0.192804363596154,0.0605597766418673,0.0560273097065388,0.0979702522225629,0.0382045935922756,0.0278291745053655,0.0386082694696208,0.0433048396021684,0.152856872355041,0.0568775420619482
9297,8307,0.0504285773262703,0.264338959094092,0.194792267347076,0.0887484190580032,0.0372893298922856,0.118146621166848,0.0236741891309594,0.0309493670120424,0.0333151024355352,0.0405337024578743,0.0680874318880728,0.0496960331909409
17755,10942,0.0305556203088603,0.158097048159942,0.341455716171908,0.0864541998526885,0.0581221734078378,0.0847393972162222,0.0368282928838695,0.0316482431254993,0.0268526515342272,0.0104514841793089,0.113046031114855,0.021749142044781
14700,8055,0.0428982946976809,0.155564320534464,0.338775325280303,0.0691718854060532,0.0420402453933904,0.0995764032928939,0.0478361425098218,0.0249120303835895,0.03247008409944,0.0262480520574194,0.0722581347773432,0.0482490815676009
7910,7346,0.0774803660439775,0.166812373275534,0.217050622913239,0.0468921846896193,0.10432675317457,0.187078872162549,0.0342358416797143,0.0415110575701694,0.0371236494448587,0.0242469433230589,0.0396077867214511,0.0236335490012584
9021,8790,0.0417701573527394,0.175053387696752,0.248253272766937,0.0733940961487945,0.0664205954009985,0.138690557588221,0.0274135176962235,0.0230996444874645,0.0314656112781209,0.0158716483504698,0.123006096363354,0.0355614148699249
15393,7813,0.0496518683025641,0.199322090625548,0.166221659177759,0.144433667539673,0.0302273129159733,0.0887632962723783,0.0276361192672131,0.0523199209061848,0.0579514371981978,0.0176911772940837,0.133169784535379,0.0326116659650454
13868,7575,0.048042117353983,0.139903227997835,0.296980437127769,0.0823447623050954,0.0227195470216178,0.153963524837372,0.0620380027694998,0.0249214020796116,0.036857894749705,0.0304496155617964,0.0708999266107486,0.0308795415849654
15401,12152,0.0311947446084596,0.0436500955375182,0.142203170380905,0.0682427385776653,0.0597771702418338,0.125259630149705,0.0431342087923236,0.0193516312625176,0.0640452269317932,0.208423368198371,0.157866854340728,0.0368511609781802
9154,6138,0.0294269518362647,0.245891317405615,0.282220949244789,0.152799526037406,0.0281384967575746,0.0997334222862739,0.0334845991631528,0.0192547050143986,0.0159062673105393,0.0107940383890064,0.0674508206011899,0.0148989059537899
16649,12391,0.0491051334483037,0.188971861232019,0.302271923420413,0.0669239635590037,0.0515745366729036,0.0905904185313715,0.0539516521952206,0.0242372644568353,0.033567953843415,0.0286264973367613,0.0710896035466041,0.0390891917571498
9314,16504,0.0664165831833138,0.128949931451892,0.258302455877868,0.140852993490975,0.0287987113760943,0.128168656959177,0.0498378064820957,0.0208637716298039,0.0464446277994652,0.0351091138549459,0.0572096051688668,0.0390457427255032
17064,12149,0.0515310064118285,0.277315027650459,0.269169816717652,0.0892945872243078,0.00792066039104295,0.0878713588334376,0.0288088495202302,0.019043102874295,0.0414739043516976,0.0209166885781092,0.0705939027908568,0.036061094656083
13743,14085,0.0802027056619328,0.0501378811867107,0.10191197886895,0.0910787516660399,0.00770132672573364,0.0889746436724012,0.0410924211495945,0.0209976967234511,0.154045226772235,0.149856734510185,0.202323295275888,0.011677337786877
14438,15289,0.0611846371958725,0.0787404067373631,0.207389287942235,0.0834407932335077,0.0314990761902378,0.113107769909718,0.0496421017433274,0.0310625728550469,0.0871326381203249,0.0812561904186437,0.139490887586066,0.036053638067657
