"x","y","Mural cells","TMSB4X high cells","Fibroblast cells","Valve cells","Vascular endothelial cells","Cardiomyocytes","Epi-epithelial cells","Endocardial cells","Erythrocytes","Immature myocardial cells","Epi-mesenchymal cells","Macrophages"
15954,11187,0.0646701974064182,0.00586923594045073,0.183259534627034,0.028337265257046,0.0836890536804533,0.0622087342513049,0.0170021443673357,0.331400152083292,0.0529986305129784,0.0647397790228604,0.0662808532850065,0.0395444195658203
12336,3479,0.0447325390544866,0.0321656305965186,0.0578392886770787,0.0127756711326343,0.0565383863107338,0.127131854881564,0.0346229477983934,0.331565078786111,0.00438257391078235,0.0750668663472894,0.186177488298459,0.0370016742059488
12343,7337,0.0397308373394453,0.00136141806114941,0.0289769308341952,0.0153757743691839,0.0397877533828824,0.225797818258116,0.0397437769025087,0.388500534921246,0.0623053214004689,0.0942241785995209,0.0393862119751264,0.0248094439561562
15402,12635,0.017534652453661,0.00878036208081226,0.11030544183625,0.0393550484497481,0.0960014107526604,0.192364675141096,0.0290146627089753,0.24638250603507,0.0479460844382458,0.0943069894451471,0.106804610932431,0.0112035557259026
11506,4445,0.0502606918175249,0.01361609360515,0.0608803205177554,0.0217013853423029,0.0901127426660206,0.236155018292494,0.0168869759067951,0.33351160986426,0.0247795553126906,0.0721588386735385,0.0481106284358505,0.031826139565618
14025,16495,0.0257390919552756,0.00981364106105382,0.13319268064525,0.0331449273266662,0.131893429008803,0.170865894368967,0.0347725559439073,0.119716720568491,0.0382500496209212,0.136869459708192,0.099602996927691,0.0661385528647817
12081,14570,0.000862471465163867,0.0356104347146574,0.00813899898558323,0.422094092530688,0.00294470906929142,0.0436851903656186,0.37706856672384,0.0272120987957027,0.0252762072919647,0.0240266976661065,0.0138071283053211,0.0192734040860623
15388,5402,0.0153015131044248,0.00475947104482272,0.0145837294387297,0.00686621870653065,0.0685708397934101,0.276087167100501,0.0022541896730999,0.491159427636627,0.00923343837954876,0.0605295641787971,0.0287056674269625,0.021948773516546
12773,14328,0.0223885767334034,0.00521810707793953,0.0631567047313153,0.0305365067130616,0.0877358295645152,0.117215114835832,0.0564083632977312,0.246063165664987,0.105297781578802,0.130339789054673,0.0772935260678224,0.0583465346799174
9984,5172,0.0240695216961858,0.0107708358730697,0.0241661397243944,0.00817208262843139,0.0739613543157991,0.256998449316631,0.00961961211739848,0.368412407986146,0.0287086661730115,0.131955287713042,0.0559319959237324,0.00723364653215751
13175,7335,0.0260731006743261,0.0282604193398977,0.0162637364852732,0.0101772613572144,0.0952022889637425,0.176758916506225,0.0156362344636488,0.368403358019055,0.0421722982674058,0.131277538137568,0.0538204780278508,0.035954369757793
10009,17708,0.0183083456617838,0.0049941809462259,0.0480685392848084,0.00581940482443545,0.0410858664883789,0.273715773586467,0.00461879914045512,0.362772722861064,0.0559708963360423,0.109504228730021,0.0518122824251222,0.0233289597151959
11650,7097,0.0325600809854962,0.00646087716075723,0.0317927039595175,0.0159209702609953,0.0692764549207303,0.205104621532763,0.0231902912810108,0.320738133643883,0.0312375503330892,0.107036237009642,0.0754923233984763,0.0811897555136388
