"x","y","Immature myocardial cells","Cardiomyocytes","Fibroblast cells","TMSB4X high cells","Endocardial cells","Valve cells","Mural cells","Erythrocytes","Epi-mesenchymal cells","Vascular endothelial cells","Epi-epithelial cells","Macrophages"
7910,7346,0.167559525751641,0.114298686824476,0.0181067641328959,0.0040390679983683,0.152315953720443,0.0772242182761477,0.0443120157319677,0.155277906332388,0.0349065435148121,0.0637027188155994,0.117191212685879,0.0510653862153809
9021,8790,0.157209598699032,0.119856079977686,0.0477977544369411,0.0103417672523562,0.164181104081533,0.0889826451141442,0.0616773163919923,0.0609413703707757,0.0161689271640692,0.0652792132536786,0.11507433778847,0.0924898854693217
15393,7813,0.0711886935575708,0.169463227104943,0.0651027483862469,0.0160063327391492,0.196232173911893,0.0969392129527839,0.0160957899496107,0.135113208734334,0.0254174294190311,0.061075924522252,0.0687371617715357,0.0786280969506493
13868,7575,0.108375399434303,0.219764187108912,0.0247319804338742,0.00224736822075343,0.172450362103635,0.0530268974917174,0.0365523418594999,0.0813336776056212,0.0159865074382323,0.0348154072320733,0.120573679572177,0.130142191499201
15401,12152,0.0437336907986567,0.144784403757042,0.0318196778849612,0.0108921316801271,0.117126485451075,0.103434937502962,0.0235571635568551,0.0868110598194706,0.019592202767586,0.0282581089272641,0.27041859586074,0.119571541993261
9154,6138,0.132400035259532,0.175274652024632,0.0310083372642041,0.00471868179085241,0.166850372120938,0.0534076951535514,0.0559929598318894,0.0871958412215594,0.0210453133638528,0.0813756606273978,0.0806341933155377,0.110096258026054
16649,12391,0.117346921579496,0.156217766456383,0.0413009577242139,0.00194827883863464,0.169214906846994,0.0429425857368656,0.0581336923064162,0.115212588631248,0.0153334990154623,0.0623315436790328,0.115833807175289,0.104183452009964
9314,16504,0.0966193654117841,0.160472039745892,0.0371049222799845,0.0110492925423071,0.255586754944656,0.0595396755915501,0.0317895083037474,0.0935485609169922,0.0323175141357838,0.0411657804299778,0.0880338085901613,0.0927727771071642
17064,12149,0.130212559958536,0.11550627394578,0.0489636479029958,0.00278113958288913,0.207482471857703,0.074422899713171,0.0269895389622924,0.067813472635458,0.0161556771132421,0.0692933592520557,0.132490393532457,0.10788856554342
13743,14085,0.0952990963012815,0.0731488563087585,0.0551247321061115,0.0476506337624592,0.0491858911600094,0.274447277894673,0.0270621884475138,0.0553478144324512,0.0486773153234047,0.041525922007443,0.153113455753259,0.0794168165026344
14438,15289,0.0792717216825045,0.20415950435943,0.0404922353909102,0.0152542668373949,0.0970720173336001,0.141448984281114,0.0422849706902714,0.0619833918696355,0.0446624599909625,0.0332812995121693,0.146479158928168,0.0936099891238392
7923,14096,0.0563195744551172,0.0642648589816096,0.0480093835214908,0.00570955804871498,0.138751909140549,0.0620025533302786,0.0379192063798428,0.091038843537849,0.0215007774244884,0.0284708395279965,0.332741113047003,0.11327138260506
9032,14094,0.159028431306049,0.146739473240734,0.0455577448076265,0.00326824591749962,0.0998451934350885,0.101657038514341,0.0647010100025348,0.107211446252134,0.0309128913156559,0.0512558868728302,0.108865474018055,0.0809571643174519
14572,13119,0.0135947412154508,0.0245272935444922,0.0178865598751198,0.0226797177088128,0.0402595237209962,0.630221154899574,0.00527337029427438,0.0687127660719171,0.00862171731216183,0.00624383498632212,0.122462852426406,0.0395164679444729
10558,15296,0.0775186854771446,0.129801753974445,0.0721639993456551,0.0151013171769285,0.161603546459906,0.169211907889738,0.0310083789745931,0.0903341057590693,0.0199783781764691,0.0652470219897456,0.101784299348532,0.0662466054277734
17759,13353,0.0616896692928617,0.0903622728037785,0.0377737008870623,0.00157537233290719,0.191392797717842,0.0264771656125414,0.0317956312431164,0.197777447080535,0.0240212340452103,0.0681341134385058,0.156344330557925,0.112656264987715
16640,8051,0.116507795188363,0.15535156266572,0.0568141025345175,0.0180602872976178,0.148719130375056,0.0896634956868238,0.0599292089944775,0.0889906669868036,0.0228551200003423,0.0629396945836359,0.0926394186847039,0.0875295170019383
16238,14562,0.0538628785617687,0.118647000041505,0.0416806686841277,0.00876898456138456,0.257381058792233,0.022888257824067,0.00674516803138621,0.161462282463978,0.0299851080520397,0.0181957497300473,0.169503600922399,0.110879242335064
13598,10951,0.0669148050696075,0.149599493738297,0.052855766747703,0.0381076806293267,0.0919200879065949,0.0701663778885195,0.133441112457273,0.0878101225804445,0.0359155627050702,0.0437627076489231,0.163934111478686,0.0655721711495539
18449,11664,0.0803035660654609,0.119720447248412,0.0315839015131526,0.00605864012974205,0.0596774602296055,0.0732971039672121,0.0485742393381243,0.0985050253698661,0.0404504135914405,0.0258207403578809,0.30041823746549,0.115590224723612
14166,17700,0.0340864724026284,0.0600035953198613,0.0347328053452926,0.116719409969582,0.104438347109232,0.206301689330194,0.014893172512673,0.133827935073164,0.0224426068420346,0.0677772850804779,0.103058981055367,0.101717699959493
15396,9259,0.133069573576718,0.281171652652071,0.0340285567192324,0.00755008674518067,0.0842037219733471,0.0843065503839192,0.0730382736466822,0.0507725537693662,0.0309436314352836,0.0826621356118791,0.071064972156947,0.0671882913293737
13462,12156,0.114638838993243,0.176506569999407,0.0366976861817472,0.0114473697393308,0.107278565679022,0.100173239157626,0.0370476006461536,0.121040567752579,0.0498059469417558,0.0591758812600768,0.0967248759103768,0.0894628577386811
9156,7102,0.138244404877935,0.241591147948839,0.0424852240633343,0.0240377917438228,0.0718680140420115,0.0727099489153575,0.0807030356187294,0.0470689274461739,0.0267025917021265,0.0868241961232717,0.0838939663416942,0.0838707511767047
15530,7089,0.0747537530251793,0.127238678924369,0.0418087191345566,0.00278421396513563,0.157566107957002,0.0544351807448754,0.0516737015675024,0.115201969895047,0.0163059445432068,0.0129956950936002,0.181493335782861,0.163742699366665
16639,7569,0.12174242866196,0.0604568236120424,0.0461068821026777,0.0259578883540709,0.162255470822549,0.0724448852724276,0.0590183793360583,0.0695370092735387,0.0340473153525089,0.0461068295453315,0.199971174653581,0.102354913013255
10820,7581,0.0965198580317438,0.26217424724192,0.0470337694364272,0.00187224367693793,0.0963727451888955,0.0773989165692745,0.062826053680269,0.0502658730594172,0.0207085970371558,0.0476620020439246,0.129717675101764,0.10744801893227
16082,6124,0.0906926277684224,0.095234132377847,0.0257665362733432,0.0146806476417751,0.119291598972257,0.0707673411292956,0.0207603938182309,0.0578033198008511,0.0109435329544653,0.0443436732601766,0.366451023529945,0.083265172473391
9580,11200,0.194985433380786,0.209532254134928,0.0309303653707305,0.00420719360519833,0.115186698669946,0.0457793445760441,0.023438398513869,0.0903425073803216,0.038173163683196,0.0629363075463287,0.132221293867115,0.0522670392715376
11806,15535,0.056857685121658,0.116613544478148,0.0466255155543031,0.0201429242042011,0.160508975209673,0.164260405916492,0.0275411055704012,0.0857451623509073,0.0199207165265717,0.0191162006430419,0.15013790289129,0.132529861533312
11387,13848,0.0154081748810522,0.0100671257447232,0.0246860220567713,0.106384556806747,0.0664435084420161,0.629795148554111,0.00557383106022883,0.0559664872340524,0.00831655864751096,0.00862642620028204,0.028384024960525,0.0403481354119802
15253,7090,0.0819469016363062,0.17117654967176,0.0313303087655433,0.00391193707696111,0.178567223103262,0.0675284486740492,0.0391610581387862,0.109669584764211,0.0236356793973355,0.0216748917415158,0.146560512409389,0.124836904620881
10701,17466,0.0895174289592433,0.10260704701764,0.0665767937566333,0.00359288056953399,0.232822120741369,0.229582552867512,0.017257281256298,0.0576635381903821,0.0313625808108256,0.0203246203768209,0.059630677293816,0.0890624781599267
13195,17461,0.0619614134199635,0.191990620805585,0.0515383683293469,0.0036504687349664,0.122520246281791,0.13466576701831,0.0381517539964167,0.145112927218197,0.0207132331320577,0.0500548862797978,0.12070702385087,0.0589332909326975
