"x","y","Cardiomyocytes","Fibroblast cells","TMSB4X high cells","Valve cells","Erythrocytes","Endocardial cells","Epi-epithelial cells","Epi-mesenchymal cells","Immature myocardial cells","Macrophages","Vascular endothelial cells","Mural cells"
12502,17221,0.942649045450352,2.07600841508285e-07,3.82991515565344e-23,0.0285168509658945,3.80114610477237e-69,0.0126079829755755,1.57948194239304e-09,3.10679854594015e-12,0.00161901095849102,0.0146064961452151,2.34108480933183e-16,4.04321041020945e-07
9586,14093,0.947054684135665,0.00361414244364682,5.54619380078367e-17,0.00925166720371631,0.000162410558641936,0.0108916787720149,2.95622286564302e-15,4.50683718543976e-16,0.000515405345450535,0.02850997467208,1.87783650038865e-12,3.68669027946904e-08
17625,15523,0.947563930867548,1.31586340111168e-12,5.43182518360692e-23,0.017048859783182,2.30477380394913e-23,8.02253101592766e-05,0.00430232447453762,2.68191088819455e-13,0.000646242820239671,0.0210345030536636,0.00932391368802013,1.06538535687339e-12
9160,9031,0.931454443190344,2.2067312631851e-13,8.64190577736169e-17,4.77982205428515e-16,1.28011936966403e-13,9.14668876722247e-11,9.46013000457035e-23,6.80316324918362e-26,0.00587132656961556,0.0626742298491782,2.99030410110926e-10,1.54044037958992e-14
18170,10700,0.631669891477202,7.18683688665266e-06,1.67978176081113e-15,0.137861661210566,6.92176960317531e-33,0.0531367157889006,0.111541973469439,1.41949833337208e-07,0.00476261283946078,0.0429859567838231,0.0180338541939164,5.4499704927937e-09
18176,13593,0.863883548055385,2.16657474027683e-11,3.57917305025683e-32,0.0546539853523419,2.73040707598208e-65,2.02828949633767e-10,0.0520460269825286,9.47689850153171e-11,0.021125374772437,0.00829106448952227,2.88537057767803e-28,2.8521987848288e-11
13862,4682,0.965474992555318,8.27805788608006e-07,1.66481660034024e-18,2.24726422928187e-07,3.33095336779403e-49,7.28974256889531e-08,8.37952691009397e-20,2.74791132581809e-17,0.0015950942471483,0.0294515643642399,1.33935324030661e-20,0.00347722340365621
9857,11199,0.776708451288666,6.1865267393639e-05,3.88144800186932e-24,0.0709068353863053,2.38865356533081e-49,0.0842245816415075,0.00501579821756956,6.98747183373848e-14,0.00349195400927838,0.043713692609707,0.0158768187834133,2.79608991904239e-09
12918,17461,0.914139255520701,4.99229104234689e-05,8.52215827123827e-13,0.0258409997211355,9.34645978823374e-11,0.0342164132338572,0.00579028177029769,1.95475818090337e-08,0.00073434785489343,0.0191833957107333,4.53636356311557e-05,4.28457865389981e-13
12357,14087,0.819102551550706,1.09244819432587e-08,8.8181744082473e-25,0.0853810583625026,1.10618347780338e-46,0.00934347751965149,0.0184080689471742,9.73891829440123e-08,0.0380041063395462,0.029579826299339,8.10243643462584e-06,0.000172700230980811
