"x","y","Endothelial cells","Fibroblasts","Neutrophils","Epithelial cells","Proliferation","Astrocytes","Neurons","Oligodendrocytes","Mesenchymal cells","Macrophages/Microglia cells"
7116,7796,0.0139355472824814,0.153969007767276,0.204592943530236,0.00200063985170366,0.000100890873252588,0.0473136080293934,0.0905522958751552,0.192416503853219,0.0382637506286592,0.256854812308624
4427,10313,0.0389231517796035,0.243777284091439,0.146124632113362,0.00121300192878371,9.75025203072991e-05,0.037304552160495,0.070357812553251,0.123935491262057,0.0740256475755336,0.264240924015167
9734,7318,0.00144890600585506,0.19193448288245,0.130076218043518,0.00449129710839973,0.000130274690931441,0.0396412455378294,0.221778962875268,0.135795754662988,0.0237192659932143,0.250983592199546
7390,9475,0.00389298349325715,0.136556481713847,0.142088712614295,0.0130889824884574,0.000121876576960831,0.0407194253251853,0.135164426218794,0.136362439111954,0.153381149362816,0.238623523094433
9047,2523,0.000968885082802854,0.0687280135578427,0.113531517857396,0.0200982913053841,0.000106295917726459,0.0220792270100933,0.0885632952877849,0.0723116176243206,0.14254894211994,0.471063914236709
4773,8275,0.0134606509017903,0.283597807188161,0.120240139563141,0.00313480350306068,0.000271516191003159,0.0537860403840557,0.111196251117804,0.0797924420001267,0.0892495579071062,0.245270791243751
7392,5639,0.212602949927828,0.139588428797027,0.071996753337697,0.000733673141417599,0.00017581616947558,0.0136275686989139,0.136518455909343,0.143871016423738,0.0419002187237,0.23898511887086
7942,8276,0.0818042906856005,0.09686381217773,0.232306514389718,0.00205768816917298,7.10285439977937e-05,0.074572845614706,0.101043338622362,0.234032004176037,0.0174283941455557,0.15982008347512
5670,4799,0.00111431255515306,0.153038334776271,0.0574013961558512,0.0542138470579634,0.00026647039499505,0.0123244268871231,0.0538195935080156,0.198516171725319,0.286880834336165,0.182424612603144
9872,6119,0.288091362450206,0.128189619264007,0.0498233310995043,0.000596121587380205,7.34898824688192e-05,0.0148418454068461,0.00663256946122589,0.130749492829736,0.0436413071265173,0.337360860892108
8357,4680,0.380401878495773,0.0851634835250113,0.0474937340894116,0.00136404727874312,0.000104671642146081,0.00774926316061941,0.0109261589135932,0.0876830966851236,0.0949391119349721,0.284174554274607
