"x","y","Proliferation","Astrocytes","Neurons","Fibroblasts","Epithelial cells","Endothelial cells","Neutrophils"
7391,7797,3.61196833062735e-08,0.0108518844240996,0.000468471003107062,0.0257702619744465,0.000125150615641066,0.893638831680421,0.0691453641826013
6016,3240,3.41377254141833e-10,0.000531684316101741,0.688959552957287,0.00365791076638601,0.0623266554648388,0.22271799845369,0.0218061977003201
7600,4320,0.000380774027295279,0.00513671527022276,0.00693229980535561,0.00413406811278594,0.0131000639354575,0.571141435750853,0.39917464309803
9529,3842,1.84381797376207e-09,0.00352194204418482,0.354605574950628,0.000238333436430648,9.21004424629648e-06,0.56476833894095,0.0768565987397422
3880,2400,6.10514429898116e-10,0.000302918516021286,0.000165402263121311,0.00707184262706739,1.23404646928362e-05,0.895669607616544,0.096777887902039
6012,9474,1.2822248277528e-07,0.0206787188569699,0.105672799958207,0.0405012500397353,0.000140326054333997,0.638607242562934,0.194399534305336
6842,4200,1.91421504213527e-06,0.00162446504009977,0.389679786916724,0.190123391013175,0.00760961842524676,0.176359154536412,0.234601669853301
8838,7917,3.26966851235453e-05,0.108304039691414,0.452421706919165,0.0597089683961796,0.00457245361567563,0.120684572015176,0.254275562677266
8700,7438,2.63255339962962e-07,0.0952733085741585,0.556852816522282,0.0255447592600678,0.00638957726493959,0.0520720675732676,0.263867207549945
5049,7076,0.000220923233116315,0.00676601502617383,0.393090829422565,0.110155621686701,0.010334118624571,0.270956340024207,0.208476151982666
5256,7196,2.6520939692757e-07,0.00538752320339393,0.356060020541333,0.198161429565368,0.00355543584798768,0.294367049761812,0.142468275870708
5119,4319,0.00447972543777398,0.00883442823058323,0.621975330213318,0.205631919478548,0.0689815571680761,0.0471682512589497,0.0429287882127511
9870,10195,1.28770132946456e-07,0.0152675282800022,0.0777024592142726,0.0055005301093145,0.000248814866960461,0.715323285128202,0.185957253631115
8083,2522,1.06518810918224e-07,0.00199841785605375,0.461753974981372,0.0151824895812508,0.0399573836287311,0.37417628369689,0.106931343736892
7461,5759,1.47482894770606e-06,0.0325232951621902,0.00528113412193547,0.0207922538276764,0.000667631001459116,0.812808274479864,0.127925936577927
10147,7079,2.17417538625216e-06,0.0407562268987334,0.372980613715208,0.029035443798041,0.0257741906958557,0.329733735742542,0.201717614974233
5672,1922,1.175626936314e-05,0.00186480274211988,0.312756562037261,0.126439999964444,0.00162706105006367,0.467806267264535,0.0894935506722141
6564,8036,7.0030532991109e-08,0.0123942454062035,0.129162509191927,0.119891701610877,0.000842109501173151,0.601290904086084,0.136418460173202
5394,5997,6.22090401031104e-07,0.00604845934761356,0.000765324517761155,0.0148011669637555,0.000598942598669977,0.809810634932222,0.167974849549577
8700,8636,0.000367242568235596,0.0452392783049426,0.432971958266624,0.10496001068975,0.00734816791397158,0.210295631040305,0.198817711216171
8703,2882,1.07593000939906e-05,0.0275789622897761,0.217200644955616,0.0228602025950718,0.00222340708579763,0.55192641486792,0.178199608905725
8770,5639,2.41292071148244e-05,0.0310890280631698,0.0466266795803459,0.0092539337744473,0.00107594455132224,0.708775080254487,0.203155204569113
5187,7796,4.48163139237837e-05,0.00613801651222396,0.255665232922787,0.163388737199033,0.0078418003414965,0.3197545601816,0.247166836528936
10012,2523,0.00189043959583968,0.032928347671416,0.320291544287743,0.0118165163859363,0.0213478199894711,0.0385073188377915,0.573218013231803
6911,3361,1.0445999411298e-07,0.00224697454103556,0.427641253725528,0.17116326324586,0.00213221793308444,0.265168285292966,0.131647900801532
6911,3840,7.27854439627032e-07,0.00453748155166558,0.344614211067005,0.135896415238775,0.00876783030532053,0.173122661474664,0.33306067250813
8497,1803,8.66824888221649e-07,0.00270593523904259,0.314411819508029,0.0791911747767388,0.0641923650370264,0.276332651245107,0.263165187369169
3604,3599,5.56198758162497e-08,0.0153970868402576,0.0477566803482482,0.0217002024869471,0.00166418850060127,0.865842668094966,0.0476391181091043
4223,4918,7.20031819134301e-10,1.51595484934531e-05,0.0902626800198252,0.000752103755005611,0.000997272141745407,0.330007535943977,0.577965247870921
3742,3119,4.5803891745893e-06,0.00111421297986617,0.210439594962972,0.000418314351290977,0.00207342465209993,0.75641352802309,0.029536344641507
10215,9596,6.46109737429297e-07,0.0135182872770881,0.0599757756087346,0.0844911731383742,0.00153475084910522,0.712869717258457,0.127609649758503
6082,8635,2.32885051147204e-08,0.0139155187469395,0.355722218980582,0.0865163442231562,0.000865106665460256,0.461814024002638,0.0811667640927186
7048,5758,2.39981821137964e-09,0.019615483494259,0.21359118289507,0.0380700799191469,0.000433953698880318,0.63693703989496,0.0913522576978658
4223,4678,7.69215646929059e-07,0.0272227761987161,0.310858310240655,0.22147370957317,0.00604248474695115,0.289495093466716,0.144906856558146
7668,5639,4.96962970864076e-07,0.00625680020978247,0.0759489205623357,0.000373808460020466,0.000209362224796407,0.685988148632866,0.231222462947228
4361,6117,5.11167004425302e-13,1.71738523976108e-07,0.224868233706351,5.61453480295941e-06,1.44058074976715e-06,0.775123290342867,1.24909619407738e-06
7875,5759,6.09038154943086e-12,0.00149055749586919,0.0256100079481126,0.00215048207720506,7.13595988152837e-07,0.936485647024085,0.0342625918526494
9871,8517,0.000263929834227783,0.0233260542737924,0.462914188783355,0.0077460692949405,0.0246306183271216,0.443380339510639,0.0377387999759239
5048,8515,4.47650982975926e-05,0.00717034858130417,0.154011084206192,0.299254334288887,0.00146123111783079,0.154870725036542,0.383187511670947
8564,4560,0.00151883914077704,0.00137288606439857,0.00433958463976785,0.00272816767629724,0.0093807315653355,0.528011515751512,0.452648275161912
7391,8516,1.59276284562031e-10,0.017885914751104,0.0522639921231032,0.0192834701083915,0.000159957425727919,0.801987572682923,0.108419092749475
7116,7796,1.90416330554729e-09,0.02294777897398,0.0476450360685591,0.145486668652795,3.80036916273667e-05,0.597190833595681,0.186691677113194
4427,10313,1.67973157937383e-05,0.0166072707033706,0.21307151355594,0.289652082240087,0.00261870073807263,0.350980034188032,0.127053601258704
9734,7318,2.00732506046854e-07,0.0659438886903143,0.326453504761604,0.225608314599646,0.00351772868101561,0.149133310267733,0.22934305226718
7390,9475,2.45774772018332e-06,0.0102082767439885,0.46772698297543,0.209812758955784,0.0249939558725754,0.15574188504982,0.131513682654681
9047,2523,3.87175616930165e-08,0.0041356942871233,0.232668543423744,0.00999386353254472,0.00997888137598689,0.469438617475288,0.273784361187751
4773,8275,8.60019450476074e-05,0.014716626955334,0.202193902330627,0.250725659575381,0.00808044029766075,0.348543128655246,0.175654240240704
7392,5639,1.23846009697564e-08,0.00254727924076865,0.114231703977534,0.0018706413925253,5.87151824766849e-06,0.842158100795137,0.0391863906911868
7942,8276,9.1151298464722e-05,0.0797482308106587,0.124671818895024,0.0113168489676972,0.00786481703297262,0.583908497150042,0.192398635845141
