"x","y","Proliferation","Macrophages/Microglia cells","OPCs","Neurons","Endothelial cells","Astrocytes","Oligodendrocytes"
4910,9474,0.0227874456858042,0.370647876311994,0.00226830556047767,0.00766911561530877,0.0988807833339425,0.413751498562547,0.0839949749299257
5531,7676,0.00192054570311262,0.612043058076941,0.00140747955101705,0.00213403803830341,0.0309998831166656,0.252868063477505,0.0986269320364554
8287,7198,0.000175884357572554,0.262940739603091,0.00125024526710372,0.000602276187689903,0.0907405542112666,0.469034788526891,0.175255511846385
10012,2283,0.0199068406326372,0.207726520557882,0.00745968420100082,0.00145813065281832,0.129139207805192,0.479091613999168,0.155218002151302
10011,3722,0.000617290810644813,0.393823192944535,0.000259066656998278,0.00207861963540165,0.245311161952954,0.165230807796282,0.192679860203184
6289,8276,6.24265721164988e-05,0.282815280209894,0.00011677718169258,0.000532557952231884,0.434627512274961,0.197604069983056,0.084241375826048
5258,2401,0.0001388121127482,0.520261618691291,0.00128697280339454,0.000480382427379985,0.0259953976586602,0.365788763191372,0.0860480531151538
9872,7318,0.000240748055165721,0.373521796835305,0.00148323030627705,0.000541409312015987,0.0371328756912634,0.467316979881521,0.119762959918452
3878,5757,0.000166167526551651,0.516738789530034,0.00137657451894166,0.00113847353428421,0.0672947572863151,0.286558087648352,0.126727149955522
3949,2041,2.16784566677347e-05,0.26765332647646,0.00037130559743516,0.00736924510400718,0.467617065935537,0.14169023362806,0.115277144801833
4634,9713,0.00129738486116442,0.411665772550233,0.00127688202179803,0.00169418241679734,0.0551609027035455,0.468463799698624,0.060441075747838
9114,7917,5.45409944447523e-05,0.230648831453741,0.000198488531397144,0.000252432479326089,0.0225112738174789,0.633978325991575,0.112356106732037
4156,2400,0.000131318001491846,0.443043792927462,0.000292077381709316,0.000341579202055229,0.0991192552380927,0.361493586994979,0.0955783902542102
6219,10553,0.00875166229454987,0.302371814293161,0.00136308923887559,0.0052121889519567,0.11991595807868,0.423343934666009,0.139041352476768
7872,10554,0.000160679801720418,0.487471628176587,0.000927857311795313,0.0618866284560754,0.0692660641681657,0.260550583023325,0.119736559062331
