"x","y","Astrocytes","OPCs","Proliferation","Macrophages/Microglia cells","Endothelial cells","Mesenchymal cells","Epithelial cells","Neutrophils"
5877,5398,0.032300839182835,0.054297234066495,0.00011763774398257,0.432721657763889,0.145598374838415,0.0084077379482399,0.0272218302575732,0.29933468819857
6359,5518,0.00950125210407966,0.00402926010680066,4.4257409456583e-05,0.265870591032505,0.180795897673167,0.00653207942427822,0.00621780453819206,0.527008857711522
8289,3122,0.00840840953526939,0.0046874805494889,0.000361085119408059,0.1938510967675,0.174354878469341,0.0149426295344763,0.0231310098884136,0.580263410136102
4497,8035,0.00656357605027193,0.0354417346072317,0.0260996905559005,0.104009902557679,0.316985301182523,0.0391609400783193,0.122871107386812,0.348867747581262
3674,2040,0.00210121731812697,0.000104303538679044,3.73332778396271e-07,0.0230935686499963,0.928545302466958,0.000115102797896494,0.000123686239064419,0.0459164456565009
8565,2163,0.00977352141628115,0.0361523956704725,0.000757285302705616,0.199598025391994,0.176013018888943,0.0357122946762591,0.0430148438714583,0.498978614781887
4636,7076,0.00257320044922655,0.00422388685487644,0.000949866699348343,0.0707850237507518,0.430222505667336,0.00746752624675609,0.0178355615997563,0.465942428731948
5257,4799,0.00732582119362017,0.00298903133506402,3.40345715323287e-06,0.398865836486819,0.0572771957643913,0.00366733599421675,0.00918551397914547,0.52068586178959
4910,8754,0.0118220045474436,0.0110978971251675,0.0113498233976866,0.0783880626021409,0.577931097083681,0.014105766722628,0.0266834921037964,0.268621856417457
4086,4918,0.00143170519371015,0.00262280929463975,5.91859482773294e-06,0.0327698279710999,0.611640157267358,0.000639313385379602,0.00544239421986209,0.345447874073123
8769,7557,0.0473967831435052,0.0255972834678755,9.80631182696734e-05,0.357420240273302,0.154881778645929,0.0159318983531405,0.0186209196291458,0.380053033368833
6843,2522,0.0076304251873787,0.00378244369812358,7.39817509075846e-05,0.274285903443718,0.369138824887943,0.0121118144825819,0.00649422478791562,0.326482381761432
3809,6836,0.00654346388153737,0.00656613558620735,0.000703468289673287,0.0650082879618391,0.343797249535414,0.019076029309908,0.0299328454009037,0.528372520034517
4707,2161,0.00169254044596023,0.00128153788467951,9.449186566674e-05,0.0259350190364008,0.448675855381513,0.012513715761528,0.036620078840586,0.473186760783665
4497,8514,0.0188021641633561,0.0177953660539408,0.000760436031821687,0.0601082804456939,0.450774542074139,0.00784532655702745,0.0300939593354129,0.413819925338608
4499,4918,0.0212874779298446,0.0193449528880329,0.00263924392384729,0.18863758328438,0.320261122858424,0.0154822502490306,0.0273705588359105,0.40497681003053
10147,7318,0.032944652263699,0.00989994340224919,0.000587261520922381,0.192798234308491,0.0816072231531507,0.0336241355134442,0.0223553057189548,0.626183244119088
10149,3482,0.00173157744845716,0.000227573730789229,9.564786307438e-06,0.094132361090174,0.732643634369946,0.000713062352376286,0.000749764836336799,0.169792461385613
5944,9115,0.0128491492338849,0.000844046386583204,0.000169237868288522,0.0246725970503203,0.44944584638945,0.00503684655560437,0.012680200027128,0.494302076488741
4016,5757,0.00311045998320174,0.0114582361622851,0.000135109260466028,0.149883343910654,0.285432660444299,0.0116445310137576,0.01806106069665,0.520274598528687
8703,2163,0.0172943745097377,0.0130883606777801,0.00151329322266629,0.156404921117172,0.233533512763164,0.0274164216470059,0.0404483884422505,0.510300727620223
4431,3120,0.0167857449996463,0.000454830428000226,1.11872429635846e-05,0.178892857391899,0.223563480643348,0.00145883608054369,0.00272238196423631,0.576110681249363
5051,3240,0.00750820249489954,0.00684994929685733,0.000271748375942983,0.245101408866905,0.310688338277718,0.0228047590409706,0.0171142387093629,0.389661354937345
5324,9474,0.0122165096433126,0.0117233574880667,0.00946248474024735,0.0374780473953555,0.485577058272618,0.0155594318091857,0.0539126111782709,0.374070499472943
10147,8277,0.034084553213071,0.0067530051472258,4.11830308203985e-05,0.271376624760286,0.142443642960113,0.00457784820061579,0.0118064718998477,0.52891667078802
6425,10434,0.00427121135864904,0.00359083453513761,0.000345994770594858,0.12119820702861,0.266717289478724,0.0152006561882486,0.0198307406405801,0.568845065999456
