"x","y","Endothelial cells","Mural cells","Cytokines","Neurons","Epithelial cells","Proliferation","OPCs"
9734,7318,0.0164762058752805,0.000605191038702874,0.0655605135856566,0.000762659368211364,0.0299313786878457,4.3733922009694e-06,0.886659678052102
7390,9475,0.0046536444111775,0.00017369022083975,0.0779585128011425,0.000157430181752387,0.0533836076915219,1.7965334949137e-06,0.863671318160071
9047,2523,0.0851698034146865,0.00818248818634601,0.241800844680041,0.00481431086520576,0.10372515947941,0.000124148674024852,0.556183244700286
4773,8275,0.00896994004058508,0.000224048516155158,0.105643354014198,0.000127276652994872,0.065734162394968,1.00082897201735e-05,0.819291210091379
7392,5639,0.0703311350572967,0.00331606084178305,0.128614513073861,0.00557795880599705,0.0583529892059854,1.83394450278219e-05,0.733789003570049
7942,8276,0.0262173886534944,0.000688303341743543,0.0606202071449228,0.00182888950731771,0.0276372183848164,2.30834958392851e-06,0.883005684618121
5670,4799,0.0223617441002739,0.00144649938951558,0.0740504410149927,0.00194308719190651,0.0633480038457257,1.74387614971106e-06,0.836848480581436
9872,6119,0.193875103298934,0.00365242613963926,0.158772715867031,0.00966115199281938,0.0455717048084367,9.85313036748053e-05,0.588368366589465
8357,4680,0.119105945145707,0.00807802131571781,0.200533429922868,0.00889491407559891,0.0942997974333082,0.00124106128142741,0.567846830825373
4982,4319,0.001196370040865,3.70194019972555e-05,0.0542972438552985,3.63103223776617e-05,0.0417584404651544,3.24327731351357e-08,0.902674583481534
5532,5038,0.00363503239928891,0.000190322734351115,0.0639104879896615,9.82837258390416e-05,0.0544534634806642,7.63759181328845e-07,0.877711645911014
3808,8994,0.000841107478299098,2.79685379537971e-05,0.0584560515739339,2.42371546990904e-05,0.0399925308104337,2.54577990958086e-06,0.900655558664771
8702,4560,0.164603920164937,0.0125896053716274,0.210655485753136,0.011695106903612,0.0971833100948181,0.00657313281672334,0.496699438895146
4153,8634,0.000218461217874829,3.76774811757442e-06,0.0473760707686713,6.70847059031038e-07,0.0306800289368216,7.08426327163674e-08,0.921720929638823
7944,4440,0.245361872045757,0.0230448531182942,0.276460943255454,0.0314037365817844,0.133750327393873,0.00276606999974254,0.287212197605094
8701,6718,0.0450047243029855,0.00134984858179775,0.0868710744959155,0.00247668725276423,0.038931996924519,2.80963690778043e-06,0.82536285880511
5602,3720,0.071656194892804,0.00244074916070577,0.0868548256124956,0.00870355770289386,0.0831462610277893,5.03588254869709e-06,0.747193375720763
4499,5398,0.0279212518300857,0.0021485512287762,0.113377551732935,0.00187818336522836,0.0923045808790238,0.000587605700361605,0.761782275263589
9321,6838,0.0167280242650892,0.000857084703998488,0.0834032463802739,0.00118015205400802,0.0410518020402098,3.37147507783247e-06,0.856776319081343
4085,6356,0.0236591952839504,0.000358642760145709,0.0991761779104702,0.00037543714049372,0.0709940800989547,5.67863604139993e-06,0.805430788169944
5668,8875,0.0128819750468151,0.000409561068510501,0.103902115533221,0.000328553905180341,0.0715701269273061,1.38767990313052e-05,0.810893790719936
9528,6719,0.0366990970923069,0.00239106521630197,0.0843580471248855,0.00449265386373374,0.0409238755546283,8.3190534407195e-06,0.831126942094703
4222,7316,0.0518656097954186,0.00126153487618215,0.13090457099507,0.00224186912775109,0.080243607052788,5.27119910410233e-05,0.733430096161749
4910,9713,0.00518125623214828,0.000151788099399219,0.087326599921498,8.72356496244864e-05,0.054546540742234,3.7842316827981e-06,0.852702795123413
7874,7677,0.0108097767147938,0.0003515574969297,0.0670019938312719,0.000923813365619507,0.0282385423031585,9.30863004061243e-07,0.892673385425222
8218,8277,0.00981553371330562,0.000456354427091877,0.0587660217299336,0.000510628447409687,0.027964452370272,1.128358408185e-06,0.902485880953579
9529,3602,0.221357431411122,0.00141649708788368,0.223023907789131,0.00109343962326634,0.0762494769046936,0.000655362659569776,0.476203884524334
4705,6956,0.0092262723615691,0.000322603907953896,0.0834095656938355,0.00032791406419199,0.0520206162113444,3.44804154689558e-06,0.854689579719558
