"x","y","Neurons","Cytokines","Endothelial cells","Proliferation","Macrophages/Microglia cells","OPCs","Epithelial cells","Mural cells"
4910,9474,0.121821045179154,0.225804315578961,0.0844264260356276,0.0411733188854205,0.0808583327858528,0.160877395103567,0.175671839479575,0.109367326951842
5531,7676,0.0366719392246352,0.113329977636303,0.0438846373657072,0.000220114093506669,0.14360253943553,0.0312147352152135,0.0409255781573856,0.590150478871719
8287,7198,0.104006628525033,0.0441995823500865,0.0797183295743825,0.00169656156780272,0.0891602974935659,0.473064641407684,0.108990871789354,0.0991630872920911
10012,2283,0.0834418468569156,0.0958547334283938,0.0943063378925344,0.00362933338799591,0.0435745079704859,0.427060636079431,0.0781801608169064,0.173952443567337
10011,3722,0.056846865349093,0.269398181686979,0.403916639797912,0.000201305521497676,0.14032864075617,0.01038696000718,0.00140957547270678,0.117511831408462
6289,8276,0.0658139738810865,0.146328610643129,0.313467169545862,0.00132595926102884,0.235839321940144,0.153623235745012,0.0150697380428115,0.068531990940925
5258,2401,0.038340067838302,0.133373927292788,0.0609793044200894,0.000485243572247288,0.295569746177971,0.299466062262476,0.020936478863592,0.150849169572535
9872,7318,0.0818264566274959,0.152261677676074,0.0602830765346804,0.000854930079625578,0.212460718955929,0.287327246175698,0.10949465014648,0.0954912438040175
3878,5757,0.0932539549934538,0.137185901958601,0.0702170189425566,0.00128781797058623,0.280114772201537,0.140305667588129,0.0685345365176,0.209100329827537
3949,2041,0.0548602119095819,0.217649812937267,0.259055338524751,0.00129855753433564,0.126833626475498,0.198364840715998,0.0150996912867785,0.12683792061579
4634,9713,0.0784384779737379,0.0798099674217015,0.0768725911595216,0.00129501624452951,0.199718439233967,0.353782079416144,0.113655733277579,0.0964276952728183
9114,7917,0.0618317168390972,0.0645676209092681,0.0699490480309023,0.000571314863034248,0.135742823686627,0.502229236950675,0.108953962106973,0.0561542766134236
4156,2400,0.0934044473710802,0.107629322376307,0.192746412915351,0.000367157782557955,0.212225602103735,0.141664382140361,0.0347400189820024,0.217222656328606
6219,10553,0.136339369284977,0.249279077489265,0.0689084138744568,0.00591508355965116,0.0589886803860182,0.204614592096122,0.195824448457735,0.0801303348517746
7872,10554,0.100515612517996,0.301676378601653,0.0898971402194503,0.000641083214541979,0.191931295418436,0.0789339247966835,0.0979998282391208,0.138404736992118
8079,9475,0.0830733916076177,0.15766244736367,0.0821573571466542,0.000891186436484258,0.14349913096866,0.267531188269409,0.0558491460657517,0.209336152141753
9942,4561,0.0784393339982309,0.202161381070315,0.515045013627962,0.000933899305820514,0.102285297755593,0.0160685591358532,0.0042403677592018,0.0808261473470239
8702,5280,0.0558163300677041,0.0233712002084527,0.640938335782827,0.000609332091314475,0.262624164541147,0.00320113457274266,0.000458012660777674,0.0129814900750348
8841,1923,0.102180508176418,0.111753470607385,0.130974059505366,0.000708750189395659,0.183795311554267,0.0387813973887253,0.200363166366167,0.231443336212276
4429,7196,0.143781759982115,0.232874148951165,0.0988956724267698,0.00265050027427145,0.171654247538822,0.0640121499567715,0.208436026587392,0.0776954942826938
7736,6718,0.101980761703393,0.0971957797748669,0.15241412821991,0.00304234550789823,0.0787584311092561,0.45441398220894,0.0459691717443788,0.0662253997313569
5602,4199,0.0678988341650538,0.0673656861388492,0.049086278941546,0.000217067012118174,0.240212579522717,0.140664060639204,0.154947112779626,0.279608380800887
3811,3239,0.0713493174172736,0.0941602985952414,0.0747672717334329,0.000925325821958442,0.127640572949805,0.067654006532507,0.0644929554501836,0.499010251499598
6428,4439,0.122155483547408,0.132951022937929,0.117196501659554,0.00084098405640842,0.242726079870884,0.0681410794438568,0.0997718520548879,0.216216996429071
9047,3721,0.106339159680211,0.100971378215858,0.294281274533067,0.00134454404305345,0.253499182026085,0.101389424337921,0.0280385617686757,0.114136475395129
