"x","y","Neurons","OPCs","Endothelial cells","Astrocytes","Macrophages/Microglia cells","Proliferation","Oligodendrocytes"
7256,2042,0.00150756642769509,0.00490291474607067,0.0613056904889029,0.317108107737159,0.371286392613731,0.00527739263028535,0.238611935356156
3673,4198,0.000612015515214499,0.000915642943989056,0.773267484478741,0.122441051604043,0.0780771500072844,0.000112989436974058,0.0245736660137538
4910,9474,0.00306438246122791,0.0123099064830931,0.182472836064789,0.32319506230356,0.176907012448763,0.0835040517414215,0.218546748497146
5531,7676,0.00123925959495575,0.00346686688465515,0.0837162203455264,0.149120120216585,0.641661292129832,0.0170094671176322,0.103786773710814
8287,7198,0.000567982811607013,0.00718352586559635,0.110557888971745,0.417286370378242,0.184986458534548,0.000429240131248797,0.278988533307012
10012,2283,0.00526100049879099,0.0286310864887328,0.216533946295772,0.385281082648202,0.144784713547363,0.0272288599429754,0.192279310578164
10011,3722,0.000884015016558482,0.00323283506281966,0.239295685052632,0.312633841845096,0.364210398505539,0.00247663993323817,0.0772665845841176
6289,8276,0.00157742951799907,0.00351966077914051,0.63049457993807,0.152813498618739,0.155194816109789,0.00645762237901899,0.0499423926572438
5258,2401,0.000202552193188164,0.00293181213077109,0.0540201047272739,0.218321249786436,0.486428546693324,0.000600544946720307,0.237495189522286
9872,7318,0.000987075260535813,0.0149627637999392,0.146090905812336,0.447054987080232,0.185212389033639,0.00273622842765845,0.20295565058566
3878,5757,0.000839304739505856,0.00864135837911499,0.130859772627164,0.274361506407633,0.393417186873634,0.00182341323822947,0.190057457734718
3949,2041,0.0008254662983648,0.00576721981186115,0.802857608127943,0.0379549390393245,0.145931190280116,0.000273101160384656,0.00639047528200542
4634,9713,0.000813394364171679,0.00713970092780619,0.1589873366988,0.397645407837234,0.151068476841303,0.00578738919674925,0.278558294133936
9114,7917,0.00435324206308161,0.0195406366371744,0.145335667323309,0.356792067771208,0.0856655636834252,0.00157730189735023,0.386735520624452
4156,2400,0.000927590296454646,0.00234688787288775,0.21911656620029,0.238552418278094,0.472779009164786,0.00146654835587498,0.0648109798316126
6219,10553,0.00369937984852701,0.011630567124864,0.197217922412947,0.370245179753735,0.140771701090932,0.0132197217535405,0.263215528015455
7872,10554,0.0380816818355507,0.0340703742094222,0.148469929243092,0.232170747988999,0.263181902398563,0.0590727255735283,0.224952638750844
8079,9475,0.042479018264221,0.0258268260202635,0.151742083746798,0.247289124489075,0.475594943152519,0.0243128486117363,0.0327551557153869
9942,4561,0.00146040902057018,0.00235360484649117,0.316136541166048,0.222955365334243,0.338093220585195,0.00325359384598259,0.11574726520147
8702,5280,0.000572440898230922,0.00452205019863067,0.402393509538668,0.245341265512877,0.294092129242118,0.00673287391797606,0.0463457306914986
8841,1923,0.00107360539392375,0.00603684782717423,0.21254709484852,0.351053137113179,0.282607383826257,0.00302937934492957,0.143652551646016
4429,7196,0.00311113942847388,0.00654142253740833,0.169015862439219,0.358055418741936,0.18924244813676,0.0168452091820797,0.257188499534123
7736,6718,0.00260143581391071,0.00821902849375359,0.410841269658059,0.335655482857092,0.123134056334224,0.00170179923568995,0.11784692760727
5602,4199,9.05625103262706e-05,0.00721220765602742,0.0338746726429816,0.153467172194119,0.454191445807504,0.000283052714033333,0.350880886475009
3811,3239,0.001656625613937,0.0352034725152713,0.254684043551066,0.137785495291491,0.479692159607662,0.0640057121355433,0.0269724912850297
6428,4439,0.00130071013965459,0.00452447497057153,0.195325850797916,0.381339357407737,0.303768962540658,0.00310301176775895,0.110637632375704
9047,3721,0.00382574589043886,0.00490562082546058,0.198149269079359,0.227376517712578,0.355307947325384,0.0409537730211902,0.169481126145589
3465,5037,0.000787126320171108,0.00315741692929311,0.0816456883379266,0.182664832412642,0.558008942019581,0.00295080885164218,0.170785185128744
4775,3719,0.000266164907155323,0.00763255873725547,0.0424580997205971,0.217406897480491,0.503288681086182,0.00175474064374255,0.227192857424577
4222,8035,0.00160606071860392,0.00712120901880863,0.108239175752791,0.338217841391433,0.0861723330371983,0.00584842584910559,0.452794954232059
4566,9354,0.00098130307632406,0.00331308497920929,0.0835088083482464,0.406731678341632,0.037195396261806,0.00366588757550064,0.464603841417282
9802,9596,0.00841459300150803,0.00435241549976666,0.40764930660917,0.12851285738766,0.269924812028641,0.022780976858983,0.158365038614272
5807,6237,0.00125600922016468,0.00272532337216439,0.069263733557268,0.0848898978487417,0.791090411469154,0.0182356304695723,0.0325389940629347
6909,8396,0.00258949062426285,0.0109476428667933,0.288542222806154,0.284704289726623,0.211263680232344,0.00211462409279251,0.19983804965103
6702,7556,0.00130248097124987,0.00879110730669017,0.0670052161049101,0.101722768463752,0.604940430705012,0.000892180292359298,0.215345816156026
8633,4201,0.00258925236186042,0.0202584700253337,0.522138149103356,0.171846323729769,0.174920622987529,0.00411845818588559,0.104128723606267
6357,9355,0.00418661725215853,0.00793445808677541,0.323090382443802,0.353844434561302,0.0660547306617657,0.0037148288474457,0.24117454814675
7597,9355,0.000814720914258414,0.00227079862537382,0.0147459650807176,0.0287461680266915,0.874906009895274,0.00129764666949967,0.0772186907881853
6703,7317,0.000440612245919187,0.00439188717471836,0.185836305776351,0.250414892079298,0.359109276032959,0.00110038032633869,0.198706646364415
8081,6838,0.000648130514757738,0.0112342346537456,0.148374985874246,0.418181126523161,0.166661914193355,0.00265109165788257,0.252248516582853
9389,9116,0.0516200459703506,0.0655608807636868,0.156790001011546,0.325438650584565,0.244319054630814,0.0190335089204053,0.137237858118632
8634,3002,0.00351717479851157,0.0123374583445922,0.203389628812322,0.420876397518958,0.255281965603549,0.00629556005829301,0.0983018148637751
6980,2761,0.000985637329544784,0.00229264290319239,0.0797403429749946,0.239786497971526,0.4730197412636,0.00188298020871359,0.202292157348428
9044,8996,0.00399050632153288,0.00851073564365789,0.0811313453003116,0.25735748525418,0.525488394029118,0.00513987743389633,0.118381656017303
8012,7437,0.00330597263372353,0.0101173038731151,0.10146378938702,0.50316651055744,0.100193615306323,0.00108941426692903,0.28066339397545
8150,6718,0.00305562435119596,0.029431878330094,0.122438054379542,0.475945069605019,0.0974088967058872,0.00440105225466607,0.267319424373596
9461,2283,0.00148410566375917,0.00916654906452759,0.0882394940074634,0.48777304344187,0.185556974022492,0.00256205845147283,0.225217775348415
7324,5279,0.0030463672831101,0.0120786235180653,0.503636093854071,0.154763616945286,0.198302126765083,0.0100232321237744,0.118149939510611
4154,5038,0.00020410634919539,0.00147542006340239,0.0248715831513764,0.141627671211546,0.642590225470752,0.000631404457198147,0.18859958929653
7529,7317,0.000757638155294226,0.00293867738268904,0.405531434580155,0.35727728020874,0.138369175009871,0.000196546591659047,0.0949292480715915
4912,4918,1.50910999057133e-05,0.000196461151728057,0.000591578512147355,0.00358041182456949,0.95734038378652,0.00019012377496143,0.0380859498501679
8355,8756,0.0141168094095124,0.011367567546946,0.0946490182412583,0.38384422168972,0.263767507754437,0.0175448205892277,0.214710054768899
9668,1923,0.00420690497066172,0.00293306084602987,0.0642443403713607,0.445277973447229,0.299430918490132,0.00443961577938775,0.179467186095198
7598,6718,0.000403090618441196,0.00254229648283889,0.471462587188821,0.236930346725515,0.172514469770972,0.000223811005679942,0.115923398207732
3740,6476,0.000358301319526982,0.00261247096536823,0.0644560377718617,0.298673608168887,0.382774487149947,0.00259679926585412,0.248528295358555
4567,5757,0.00419482697851099,0.00627888094625168,0.154404094574452,0.421564456931993,0.0919580591057661,0.00353494187678161,0.318064739586245
6636,1682,0.000434422441431018,0.00207443108524612,0.116720778119892,0.327730546859777,0.28734545499726,0.00168110342038353,0.264013263076011
4497,8275,0.00340787751322238,0.00877710821094532,0.11668183770826,0.381204423874141,0.124678924120799,0.0066446265604468,0.358605202012186
