"x","y","Macrophages/Microglia cells","Epithelial cells","Astrocytes","Proliferation","Endothelial cells","Fibroblasts","Neutrophils","Oligodendrocytes","Neurons","Mesenchymal cells"
5324,9474,0.061970463095837,3.14949150571055e-05,0.00611844189033807,3.18899759451982e-05,0.191457457228813,0.453618507651435,0.030020813717395,0.000433608324165417,0.129107188040613,0.127210135160401
10147,8277,0.280330202498701,0.000704068336027084,0.00554330516499293,3.75114651583769e-06,0.0109504764411279,0.445534611314572,0.0144461081599725,0.101158706720688,0.0649514747771189,0.0763772954402833
6425,10434,0.24009236939068,8.27425203177498e-05,0.00270022260044546,2.51157272018197e-06,0.0313099874728083,0.503586223135814,0.0108006420605868,0.00596455837727489,0.0150682300153753,0.190392512853977
8977,6239,0.113093371834521,3.08840129500656e-07,1.84605461290104e-05,1.95535933993898e-08,0.811600693409257,0.0554002685588861,0.000194512393875926,0.00242374109312713,0.000149568977094496,0.0171190547933858
7187,2402,0.381186232893243,0.000251062970637189,0.00249814486590092,6.61933254336811e-07,0.017408092810674,0.412039077727678,0.0259761034724649,0.00978217672935717,0.0334047158875742,0.117453730709216
7186,4320,0.233484438139565,4.22498940718588e-05,0.000530512837483841,8.67254100113779e-07,0.148207181808979,0.45476442625458,0.00773774193558293,0.00536831263850294,0.00688758804422172,0.142976681192913
8701,6958,0.127951746468845,0.000460624030852894,0.00652101830119416,1.76286719437932e-06,0.0900392714655469,0.622046238592062,0.00336059996617107,0.0614498907519527,0.0554496615776815,0.0327191859785003
6774,2881,0.394799546070983,0.000132693549997191,0.00062641604867131,1.44362739046185e-06,0.0137936249956249,0.399015492707177,0.0149593753900334,0.000408441325005029,0.0113504764345022,0.164912489850616
8011,8876,0.162753196561577,0.000223791607111045,0.0126474805560751,5.41102134089214e-06,0.0186397890062569,0.534450782485908,0.0154030153035104,0.053805593293302,0.156977942350175,0.0450929978147437
7047,7916,0.155041325023266,2.90879309038019e-05,0.000508538174513236,4.46967246808213e-07,0.532892250368787,0.255774260711964,0.00350718176477545,0.0256408271105804,0.0068387171251064,0.0197673648228572
8702,3362,0.135010854251766,2.11985467947612e-05,0.00107592160328636,4.00980198561736e-07,0.507243637758746,0.274755330497109,0.00304412189805762,0.0162179375583888,0.0136351510977123,0.0489954458079409
7391,7797,0.137278982275904,2.49869097258762e-05,0.00149898903404098,1.07557024783362e-06,0.524750211791396,0.234904596172834,0.00343214595129698,0.0275974416772401,0.018016793160472,0.0524947774568425
6016,3240,0.191931059964995,4.17740305530729e-05,2.75652130210452e-05,4.36071083701553e-08,0.00678508114860038,0.52524717071701,0.00171103393416024,0.0543819287572645,0.000325952844658836,0.219548389782628
7600,4320,0.150997537333108,3.78559065392048e-05,0.00018674103936397,2.60054117722099e-06,0.3505195491727,0.353930228659793,0.00437320337411428,0.0120478874358066,0.0022102676126747,0.125694128924723
9529,3842,0.163350175473127,5.92471860954979e-05,0.00119788577048854,6.67451133627008e-06,0.410464858096326,0.277079707069725,0.00939176021803138,0.0021110479699414,0.0663336049618584,0.0700050387430704
3880,2400,0.0554970389794073,5.40072989203512e-07,1.64281920074147e-05,5.47459453327677e-09,0.907372513883894,0.00493791583748881,3.34152303250385e-05,0.026697919893213,0.000285950622694354,0.00515827181338652
6012,9474,0.0680317192139289,5.25696009852235e-05,0.0125918254231315,5.5413548418522e-06,0.402137298946818,0.325754692824654,0.00922961307909043,0.0014964353227512,0.113799956468268,0.0669003477655299
6842,4200,0.399427865375578,0.000163456805705996,0.00182817889754227,2.41091161688741e-06,0.0650750040993393,0.327820697616037,0.00926218093481757,0.00528086348780989,0.00993992805517294,0.181199413816381
8838,7917,0.260590707903009,0.00235596493939724,0.0158889919834073,1.97021136246913e-05,0.00681062153027769,0.443059396559831,0.00743877599211577,0.0717929864395242,0.159238368976439,0.0328044835623742
8700,7438,0.120291400153522,0.00173157201807671,0.0110755919478765,8.538619387984e-06,0.0056433707341823,0.69363061075216,0.00515831214672235,0.05866083271352,0.083643084713884,0.0201566862006678
