"x","y","Endothelial cells","Neutrophils","Astrocytes","OPCs","Epithelial cells","Proliferation","Mesenchymal cells","Macrophages/Microglia cells"
6012,9474,0.298573239139502,0.0194218318391271,0.40975933579951,0.0194612347497174,0.156405145191468,7.40588617600752e-07,0.0264562521551239,0.0699222205369338
6842,4200,3.11507103419561e-06,0.0174290725832023,0.601512952310866,2.10961013042655e-05,0.00126413758991555,3.3470672366418e-11,0.134687067970705,0.245082558339502
8838,7917,5.97293683362422e-14,0.00483589231215569,0.924386330802984,3.62559133636829e-08,2.48785312455174e-06,9.14911605150896e-18,1.07607323285952e-10,0.0707752526681551
8700,7438,5.96721960860487e-17,0.00538348149572634,0.967767511514777,2.01606208814684e-09,1.42289221439954e-07,4.02291380316047e-20,9.84163042367889e-14,0.0268488626841144
5049,7076,6.77934866220397e-06,0.0110687402105832,0.744495787430562,5.62254032156513e-05,0.00822163734635311,6.40454131762991e-09,0.0320450415805879,0.204105782275495
5256,7196,0.000102312393708684,0.0110772515702311,0.834106527090158,8.5301822674984e-05,0.0135987702371933,1.33436229847758e-11,0.0180772335984603,0.12295260327423
5119,4319,9.28540501118187e-09,0.00710715242449963,0.821556609728548,6.41030158273193e-05,0.000758242964706684,1.54062487505175e-09,0.00458718385076449,0.165926697189624
9870,10195,0.130134545013521,0.0078980964273736,0.731143224490662,8.660563156628e-07,6.47277092898687e-05,4.91938387507043e-14,0.0218548918071778,0.108903648495612
8083,2522,8.64559390970727e-14,0.00283122382226603,0.832942844062905,1.59930590105273e-09,6.70474723462267e-07,6.13399130127758e-18,0.063406986097815,0.100818273942898
7461,5759,0.211374096654968,0.00646374147272235,0.679403605141093,7.97718005944889e-07,1.89276559043475e-05,3.3605568457663e-13,0.00028015745420205,0.102458673902767
10147,7079,8.93043627635608e-14,0.00632493386551731,0.817207831603636,8.07848093078125e-08,4.4441052668267e-06,6.54499582918681e-15,0.117703016238066,0.0587596934026085
5672,1922,8.07775238364441e-13,0.00473087947425588,0.830651182041731,3.81813752556323e-09,1.55074753962881e-06,9.44965513372083e-20,0.0467866335498508,0.117829750367677
6564,8036,0.000601271622690148,0.00311482143328615,0.903180550587066,5.49662604124043e-08,8.32410742401758e-06,7.17998239120794e-18,3.38433368061863e-06,0.0930915929495922
5394,5997,0.567559274922063,0.00614619314547054,0.35014724789255,1.81680113445581e-06,3.26698777791418e-05,1.05582358851668e-13,7.85032151618876e-08,0.0761127188576821
8700,8636,9.13922625358618e-10,0.00839955614033545,0.905202550730136,9.12834726263075e-07,7.51035984284678e-05,7.28853987247739e-12,0.000246216270657738,0.0860756595045053
8703,2882,0.00531004938463243,0.0105964643872121,0.906282170676446,2.85386685073775e-07,2.17830844979755e-05,9.89875457102715e-14,0.00173854860390797,0.0760506984765199
8770,5639,0.310829033960747,0.00699705640777407,0.541289959035589,5.27054690721744e-07,1.07689245523217e-05,2.12026235027149e-12,0.0196393789843189,0.121233275630207
5187,7796,5.06934581722676e-05,0.0443906612752276,0.579633834274503,0.00109332791308069,0.0794452071223987,6.71028796272014e-07,0.117843907581875,0.177541697345947
10012,2523,1.6523591970794e-05,0.0178995174973507,0.827472137900093,0.0010219999595753,0.00852827471076547,0.000428929859144673,0.0327472928149089,0.111885323666191
6911,3361,7.41012190108584e-08,0.00963841560278764,0.695966564315555,6.77854056945453e-07,5.89557022770727e-05,8.51921925108297e-15,0.0649817305375013,0.229353581886594
6911,3840,1.63946211637844e-07,0.00773368290356961,0.699284984207441,7.43708745623211e-06,0.000873696371379211,3.35969154512633e-14,0.0494736365427068,0.242626398941202
8497,1803,1.89062717325986e-13,0.00549515706204324,0.779041279541728,8.19067937083387e-08,1.38039198288451e-05,2.23006539280734e-15,0.0863011532379731,0.129148524331442
3604,3599,0.101086587598052,0.00342600790374403,0.885387222778889,2.41806647590073e-10,3.38799086135165e-08,2.60245302075986e-22,2.59866935309933e-11,0.0101001475716131
4223,4918,3.74173103499726e-14,0.00387255534596151,0.810376314262662,1.01161352166949e-10,4.04968084363334e-08,1.94634288202039e-21,0.0982773259110505,0.087473763882319
3742,3119,0.0974777139462493,0.0102757169635338,0.475768824675263,3.62637458222131e-08,4.55506366728432e-06,6.86106501861064e-11,0.317204396934152,0.0992687560847774
10215,9596,0.0416578568894444,0.0455343384799199,0.686375051113764,0.000150663221216918,0.0011719126343347,4.44161508964032e-10,0.0674007522886712,0.157709424928488
6082,8635,1.47724510439495e-05,0.00586425719000135,0.82999076961748,4.82946732251327e-05,0.00367189368427095,2.06971335619979e-12,0.0631221059609614,0.097287906420947
7048,5758,0.0976710071718111,0.00526576577138615,0.823957638094964,6.0837677373804e-06,0.000101746107887915,2.50191016902955e-13,2.61689730056088e-05,0.0729715901129573
4223,4678,2.00604269939682e-13,0.00258692210242222,0.93612750662156,5.36289003907071e-08,8.56330658066515e-06,4.29539389224659e-18,1.28343224598495e-10,0.0612769542119929
7668,5639,0.165482791451952,0.0135698545493827,0.762437998835521,1.03086774923471e-07,1.06819400226861e-05,1.78214809421034e-13,0.00102975659857614,0.0574688135375919
4361,6117,8.34613757141919e-06,0.0305506034648679,0.237572076255634,0.000220785047933704,0.000516993253281505,0.000177584462611591,0.40512361349203,0.325829997886069
7875,5759,0.285042529547615,0.0108084529364368,0.625535500506025,2.69096952611417e-08,8.64453056846227e-07,8.02337118501692e-21,0.000918293808229362,0.0776943318389415
9871,8517,5.79391535299405e-11,0.0114390900472246,0.636860370899313,4.13997858626881e-07,1.22802712277476e-05,1.97138974497366e-09,0.236739623972109,0.114948218782938
5048,8515,2.08592801442111e-07,0.00778897122047831,0.817542386977108,0.00037443701166231,0.0387479595638416,4.08112539110626e-09,0.00784488028532048,0.127701152267663
8564,4560,0.169321944281242,0.00902982562192713,0.568755012939374,0.000398809007457253,0.0215292381950349,0.000996884475556043,0.124671677922456,0.105296607556953
7391,8516,0.201608461160985,0.00606957001713152,0.668697146489994,1.9665344439904e-06,0.00010826604861372,3.83113152359702e-15,0.00489915206496612,0.118615437683862
7116,7796,5.43753274735335e-06,0.00751066542322116,0.916055187396358,4.8488233086067e-08,6.14365892263401e-06,3.56089035092537e-17,4.17133840738036e-05,0.0763808041164439
4427,10313,1.14202914594895e-07,0.00429163104375809,0.919700352759037,1.70272524357706e-06,0.000698504125705438,5.75143433320875e-13,0.000103841425276146,0.0752038537174897
9734,7318,2.2403842470839e-14,0.00291607241220057,0.918244821068119,2.76903929804423e-08,1.73368932192799e-06,6.10045277770781e-17,8.41540253103257e-10,0.0788373442984031
