"x","y","Neurons","Cytokines","Epithelial cells","OPCs","Endothelial cells","Proliferation","Mural cells","Macrophages/Microglia cells"
9595,9956,0.0019554760167219,0.00741003263218472,0.00139984366043333,0.172101637723015,0.131777154448304,0.000739431545780201,0.0403385336216709,0.644277890351891
3397,4917,0.00185153592453441,0.0172589542308166,0.000778878700963301,0.141949325875494,0.0563864818497617,0.00025226858832554,0.490344358856935,0.291178195973169
6082,8875,0.000156935084582401,0.000667028991490402,3.54766020916829e-07,0.575513277706317,0.147763261606938,1.57666210251813e-06,0.111208821473103,0.164688743709445
6151,8036,0.00107145101925466,0.00512266674766508,5.89744607142273e-06,0.317079730117097,0.195122626056417,2.23738489632694e-05,0.0859238781995623,0.395651376564969
6635,4320,0.00123714325224928,0.00584382580118952,9.15077250448874e-05,0.062298663936263,0.093758094377182,4.1803208126191e-05,0.393072864544804,0.443656097155141
4155,4318,0.00117523656004869,0.00595102439182784,3.30831365743503e-05,0.241526742748666,0.161120466401726,0.00103817449420144,0.208696999213916,0.380458273053039
9667,2643,0.00392024369190115,0.0362343650098498,0.00436611611645149,0.196660447545184,0.139370768490739,6.31699015973063e-05,0.286084865193679,0.333300024050598
4222,7555,0.00217857143073768,0.00616291620219307,6.05742184302603e-05,0.169779498961282,0.169015176738212,0.00063741202864687,0.0495847459448542,0.602581104475644
5947,2641,0.000710646615721144,0.00766355153517057,0.000451465547920769,0.16175780592306,0.0574520907317573,1.52141445087429e-05,0.475073279601508,0.296875945900354
3396,5877,0.00287722736819729,0.0116661580190412,0.000201351439294729,0.0936359245999881,0.145286262012968,0.000259140754821048,0.292768588428495,0.453305347377195
8839,6718,0.00135093382660118,0.0058464508228453,0.000139518108376966,0.337970181306214,0.164464251975879,5.95169960385339e-05,0.046767311039189,0.443401835924856
8977,6479,0.00306843360865426,0.00830110947829803,0.000259145794632937,0.197778141292158,0.195482637803369,0.000255399101271221,0.146486583083353,0.448368549838264
8427,3122,0.00680412755149399,0.0223820759599425,0.000792779892085675,0.131796981833554,0.196316148646245,0.000459606728620071,0.331852256037391,0.309596023350667
10286,5161,0.00327175774145911,0.00335924953660999,2.51506736209253e-05,0.0226841093931712,0.42206717864493,6.79555145435246e-06,0.0848696816394206,0.463716076819334
7116,7077,0.00117210479193172,0.00355884622813522,4.10486994305018e-05,0.24267504926941,0.175169120666074,2.84225240356846e-05,0.116710423727663,0.46064498409332
9666,5760,0.00280529602369521,0.00352913446143599,7.62701085377766e-05,0.0149102767318808,0.3643118128014,5.14341996114964e-05,0.0394348385171338,0.574880937156305
7805,7797,0.00107998042903781,0.00839033723117253,0.000136731143037208,0.40656017514491,0.112608352289077,7.23110439103535e-05,0.151371776177969,0.319780336540886
8355,9236,0.00572641669735256,0.0214305826527027,0.00132240545344852,0.340012672006086,0.132850280057593,0.00344306549446543,0.172775112416523,0.322439465221829
9320,7798,0.00127278343782884,0.0113702070288599,0.000497279581284298,0.464144537142007,0.0633878122233873,4.5670407426135e-05,0.120839576164809,0.338442134014398
10011,3962,0.00265706598846929,0.00200470455357704,1.67914201485014e-05,0.126519881810356,0.34451399484434,5.92699313965453e-05,0.0372463993055703,0.486981892146142
4017,3359,0.000456182288318422,0.00136798090349927,2.55931076924794e-06,0.183809711264991,0.191852832634354,2.81347342531455e-05,0.270808950119909,0.351673648743905
7118,3001,0.00475696273017829,0.0134342100889475,4.54949938419306e-05,0.245003409810227,0.137240836456546,5.5055731966441e-05,0.254226559092749,0.345237471095544
5877,5398,0.000408564233825135,0.00316063066812075,4.08909942253058e-05,0.442007913321232,0.0925104852940776,1.25538750664059e-05,0.153669835763335,0.308189125850118
6359,5518,0.000713292518559991,0.00373640317422573,4.45988796084591e-05,0.26868816489257,0.115631799094785,1.51768181212081e-05,0.316005899332494,0.295164665289636
8289,3122,0.00513404590936153,0.0238079641318874,0.00212796358858973,0.225397062070061,0.145333708049221,0.000104655365502407,0.22458197537777,0.373512625507606
4497,8035,0.00232341748987947,0.00262990699528569,1.92083229673733e-05,0.248989166797109,0.152327683155649,0.00104195400035082,0.125962621496799,0.466706041741959
3674,2040,0.00260189334253545,0.0026214918716362,5.31649971922528e-05,0.0572924395187746,0.257113169590437,1.4890933266562e-05,0.147841373717406,0.532461576028752
8565,2163,0.00199011194740356,0.0263121672588085,0.00330208343245884,0.0892947394320613,0.0679859622663054,0.00010758129832561,0.534163714770448,0.276843639594188
4636,7076,0.00138843263393072,0.00422471979628482,1.46688058459053e-05,0.27647549315702,0.162827928383972,0.000186763682705726,0.11433016701471,0.440551826525531
5257,4799,0.00104018147200027,0.00498076828640126,6.22964707412092e-05,0.231480018025001,0.0673777635002169,3.13597286284851e-05,0.448421577878581,0.246606034638431
4910,8754,0.00162902959925285,0.0053272173306763,9.39121585487242e-06,0.387420577239357,0.158268851539315,0.00107246055332088,0.152528629873259,0.293743842648963
4086,4918,0.000332682394816546,0.00305494063471654,1.44400070018925e-05,0.223272222164515,0.111562202976787,1.22028971479805e-05,0.320366054746127,0.341385254178887
8769,7557,0.000664195722418444,0.00612777424254334,0.0001575890320876,0.516123986684494,0.0983267362145919,1.58842971694457e-05,0.0910308596154583,0.287552974191237
6843,2522,0.00165538402523266,0.0103358206962975,5.40984789510336e-05,0.244486077994211,0.111638518323125,6.01073654466344e-05,0.242705537386023,0.389064455730713
3809,6836,0.00131230921642768,0.00651516836699867,3.19159942962257e-05,0.214998945576897,0.124045127621522,0.000433915689248926,0.290237338255059,0.362425279279549
4707,2161,0.000754361592392667,0.00115039586927476,5.49272817467752e-05,0.0388800401516009,0.146550863196651,0.000281834912468105,0.207678219131062,0.604649357864804
4497,8514,0.000278722641754451,0.00122461941852746,2.5415636012359e-06,0.511216238618743,0.101547380466727,2.64785843526474e-05,0.136189788124577,0.249514230581717
