"x","y","Macrophages/Microglia cells","Endothelial cells","Neurons","Proliferation","Astrocytes","OPCs","Oligodendrocytes"
9664,9356,0.400209897466234,0.0855299329779242,0.000233341332874392,4.71515279246079e-06,0.45221671774939,0.000105955956945032,0.0616994393638401
6567,2042,0.395011478082847,0.055357284262762,3.45423021626427e-06,5.53950627157167e-06,0.527434051151013,4.32135331328876e-05,0.0221449792337577
7184,9595,0.109413260662616,0.230301887002013,2.55111227713367e-08,3.11227549584972e-06,0.647129302212009,1.35516543718317e-05,0.013138860682371
4430,5757,0.231604258410422,0.223144097734974,3.44297309937763e-08,2.19552452542024e-05,0.52984801063033,8.85422573788381e-06,0.0153727893235503
4980,7676,0.229340346281546,0.410058507049981,1.14126136940309e-07,0.000410444583782206,0.3476480511671,3.12482416454805e-05,0.0125112885498087
7256,2042,0.195185137284962,0.0345669632144382,1.59778733122176e-08,6.69918278689357e-07,0.762113397366946,1.69321111749896e-06,0.00813212302638368
3673,4198,0.0839095335486483,0.240395488410185,8.93109785023104e-10,6.9424140936228e-07,0.665773869932877,7.6271322884451e-08,0.00992033670244773
4910,9474,0.194498158886716,0.47296225626492,9.7650058374577e-09,0.000802088028750029,0.320196263575228,3.99680005139834e-06,0.011537226679329
5531,7676,0.31669251070109,0.20990196541673,3.18040323608602e-07,8.97791689986291e-05,0.463927076430197,1.23931485305997e-05,0.00937595709412954
8287,7198,0.134927898417045,0.0882440949890551,6.64493353888419e-07,2.34600584270469e-06,0.719723881244107,3.21977526640681e-05,0.0570689170979315
10012,2283,0.148226436205927,0.348451582700865,7.09709911993697e-07,0.000913454257765565,0.476892536842129,0.000272528091292822,0.0252427521921087
10011,3722,0.380677798989937,0.0489273201946324,6.21253319152105e-07,3.6642070686745e-05,0.534901834864814,2.52032211114819e-06,0.0354532623044994
6289,8276,0.179124614121311,0.252945805977146,1.96044734386011e-09,4.73443895191123e-06,0.562890583914149,6.28194509163366e-08,0.00503419676854495
5258,2401,0.222164334116254,0.0202500820014516,1.7362284315846e-08,3.86432891852181e-07,0.716429586411558,1.50526521094794e-06,0.0411540884103497
9872,7318,0.18440461664353,0.140460474263869,4.91555743465514e-08,1.96570202856032e-05,0.653176301840928,3.62999553306075e-05,0.0219026011204823
3878,5757,0.31994594979265,0.121864604218376,2.68074362776977e-08,9.79478822601056e-06,0.540715060477067,2.59937047538942e-05,0.0174385702114905
3949,2041,0.276772491880771,0.0812464171231274,3.39507345370442e-06,5.80108172637904e-07,0.633594509127177,3.74718684412017e-07,0.00838223196861435
4634,9713,0.132220260753766,0.312790740999254,4.69094494336055e-09,5.65848818147841e-06,0.545892142333563,7.69370730296918e-06,0.009083499026988
9114,7917,0.0888770073510457,0.0530106528493735,1.04715598496228e-07,2.17610234595279e-06,0.786304081130707,2.73823569503829e-05,0.0717785954939785
4156,2400,0.326094658750224,0.102171596623721,1.85700091238512e-08,0.000175090291743691,0.570224341572717,2.2375487673078e-06,0.00133205664281841
6219,10553,0.123335791273658,0.39649038130987,3.40870218299911e-09,1.73972114714543e-05,0.47085817688481,2.5382313087869e-06,0.00929571168017939
7872,10554,0.219518371233582,0.0208652622478305,1.31871977426251e-05,4.9033995629973e-07,0.715898053270765,7.75847842463923e-06,0.0436968772316996
8079,9475,0.201017700174889,0.0143152647709228,0.000456640916210747,4.96215088736382e-06,0.76009942894505,3.02838987063964e-06,0.0241029746521694
9942,4561,0.280492995295009,0.33706702648963,5.79972563009294e-06,0.000447505403749644,0.351083738649745,1.15576463820156e-05,0.0308913767898541
8702,5280,0.417206707009956,0.126155095040434,7.70827988714887e-08,0.00010686870936997,0.420185377246613,1.06176789054516e-06,0.0363448131429383
8841,1923,0.316120011344126,0.0313741594935256,8.81183768018538e-07,1.86516761769525e-05,0.617413256053515,1.35098527130772e-05,0.0350595303961756
4429,7196,0.236609182126671,0.411696091660986,5.51337374555832e-08,0.000472911216402645,0.332612808860196,1.40282007961208e-05,0.0185949228012112
7736,6718,0.104033294935379,0.0329755532459439,1.25522059651636e-09,7.01589664182085e-07,0.851190448728078,2.17211242033401e-07,0.0117997830344714
5602,4199,0.202775072096856,0.0308394750251047,7.52447324104325e-09,1.44259217840172e-07,0.701824403712447,2.38006294510116e-06,0.0645585173189559
3811,3239,0.334224810512542,0.0719195710169965,3.59254328694714e-08,2.3757752459756e-05,0.592415617474829,4.62224468122502e-07,0.00141574509327216
6428,4439,0.329051144997869,0.0967349917655937,1.16406290801078e-06,2.31417012963741e-05,0.547713424468935,4.5110643236782e-05,0.0264310223601603
9047,3721,0.290614947067364,0.16927294273146,7.51241512593498e-07,0.000213806196243094,0.496376027360137,1.33847570753602e-05,0.0435081406462083
3465,5037,0.30426641793898,0.00695458732858177,3.15363566100161e-08,3.87363835420651e-07,0.665422203509774,3.8679677238895e-07,0.0233559855257
4775,3719,0.282621048474297,0.0545335209310946,5.30610293246636e-06,0.000266753440369953,0.594340993825157,1.49263171370585e-05,0.0682174509090121
4222,8035,0.117342401069168,0.413315753585893,3.33812433815889e-09,2.51537612308991e-05,0.443035589653586,2.38877632471707e-06,0.0262787098156731
4566,9354,0.0905974561160745,0.365336642496537,8.27404179468762e-10,8.52315568748174e-06,0.527048281859982,3.34646757177935e-06,0.0170057490767435
9802,9596,0.259097040996154,0.0540205389020374,7.20858551721104e-06,1.24614383156336e-05,0.623479865894559,3.39042664750799e-06,0.0633794937567691
5807,6237,0.410726015401367,0.0512866286948877,2.91298380150896e-07,8.46811903293057e-06,0.536861963741899,1.59422049097075e-06,0.00111503852394215
6909,8396,0.165698927915678,0.204384968352309,2.19006890812744e-08,1.53004991154014e-05,0.60676797297729,3.15343736311447e-06,0.023129654917555
6702,7556,0.407734943598882,0.0862448797303204,3.65454778192357e-08,7.57180715519736e-06,0.45733741274398,2.31381091769375e-07,0.0486749241930929
8633,4201,0.282567103107765,0.180629579194285,3.82077224893626e-07,0.000235260752358218,0.486705730073898,1.49449416431863e-05,0.0498469998528256
6357,9355,0.0868794035079888,0.366690641264509,5.12729149030406e-10,2.77443637407213e-06,0.534430987204008,3.59631921618068e-07,0.0119958334424693
7597,9355,0.342210337999241,0.0740175457605806,9.50660422663196e-05,2.53769753680008e-05,0.560552099120222,0.000697925429201771,0.022401648673121
