"x","y","Astrocytes","Epithelial cells","Neutrophils","OPCs","Endothelial cells","Proliferation","Macrophages/Microglia cells","Mesenchymal cells"
10215,9596,0.0137433030517736,2.46817526529627e-07,0.536215302042204,4.51684190996234e-08,0.000157231473913621,2.53161688483288e-10,0.313313052202218,0.136570818990784
6082,8635,0.207298253424391,1.17885673976427e-07,0.383672377159436,6.36043612220958e-09,1.31014647232783e-07,8.95337166871221e-12,0.284756795075943,0.12427231907052
7048,5758,0.3313683650681,9.36782158019205e-08,0.410055626423834,1.89518195702924e-09,1.58674265791989e-05,1.30645179226318e-11,0.214693913822505,0.04386613167252
4223,4678,0.457936577732296,4.35858590510398e-10,0.411537175262257,2.67047561608575e-11,2.06157085132534e-09,5.4206504471556e-15,0.12127011494166,0.00925612953964702
7668,5639,0.248074102998385,9.5909877002149e-05,0.425925541553684,2.92158310684905e-06,0.100520825351204,6.74331770747364e-08,0.175492584983861,0.0498880462195802
4361,6117,0.023548819755462,0.000384949466793018,0.214550016746667,6.40418004208984e-05,0.00971472954008726,6.28725843243768e-06,0.453889944467798,0.297841210964339
7875,5759,0.230110745436274,1.80942079031021e-08,0.502654791163233,1.24034169409091e-09,8.9022787635188e-05,2.41001936030491e-15,0.227288591734075,0.0398568295442304
9871,8517,0.185967988140602,2.55257961061864e-08,0.340802597696325,3.98218938369247e-09,7.4994046890146e-08,2.95099488244297e-11,0.20307593023001,0.27015337940152
5048,8515,0.183668245209141,0.00130259195698176,0.477646242317007,4.12027049322989e-05,0.0126428325889842,1.19773023674655e-05,0.216602392806462,0.108084515114124
8564,4560,0.0700212266054733,0.00165064572271125,0.410649340151827,6.66152979093332e-05,0.222323518324144,0.00216671354115897,0.0992745227468659,0.193847417609911
7391,8516,0.210769303515203,4.53491373547081e-08,0.409498988880559,1.20716107401627e-09,1.49485267979451e-06,2.80811448252450e-12,0.335590351898418,0.0441398142940339
7116,7796,0.306230590534781,5.53563128132847e-10,0.46787721978392,1.62930232568666e-11,1.50149437646942e-08,1.82406942026026e-14,0.194400701104255,0.0314914729922254
4427,10313,0.177179845427162,9.21453228299642e-07,0.435509050822972,8.14496356159378e-09,3.63163526330874e-06,8.00070328858365e-11,0.316079636222401,0.0712269062140024
9734,7318,0.354513329875911,1.74088947799896e-09,0.403312940003341,1.07520457341233e-10,5.54071421840147e-10,1.42455994304339e-12,0.225506416011739,0.016667311705103
7390,9475,0.323764775163318,2.38209233696599e-09,0.432636090221735,3.21850469032296e-11,2.29024546666584e-09,2.74114700304304e-14,0.183763269309913,0.0598358606004833
9047,2523,0.158447099540398,1.63321462248314e-09,0.533679205355323,1.48396445983917e-11,4.91592469326959e-07,6.4103440790302e-13,0.207788202155472,0.100084999707643
4773,8275,0.134463811365668,0.0229663289044648,0.393041226953607,0.000428443171848162,0.125464659177626,2.7609621266435e-05,0.204777535404886,0.118830385400635
7392,5639,0.268836215525898,7.46233809399e-06,0.470276115661195,1.17695008726717e-07,0.00193661967514251,7.02023638165284e-09,0.195820444128827,0.0631230179555987
7942,8276,0.349813712661685,1.23976363457388e-10,0.488204847835313,4.99021677253438e-12,9.6401889241551e-10,2.71343575677897e-15,0.159239257460058,0.00274218094995549
5670,4799,0.245869779485595,7.03557030753118e-08,0.42302542207683,1.61814273983952e-09,1.77332564443713e-08,5.12702619310411e-13,0.218182956330831,0.112921752399129
9872,6119,0.00830463312840399,1.48821020307911e-05,0.320822597368328,3.44896274946204e-06,0.324121271302783,1.1804906626936e-09,0.284246859373934,0.0624863065812792
8357,4680,0.0582127564691161,3.93767965258778e-06,0.475661124379973,2.05617553614689e-07,0.209926671336429,1.34448007073187e-07,0.189462109933293,0.0667330601359752
4982,4319,0.214886369243071,1.14780062716632e-07,0.320346961912131,2.83361478925758e-09,1.79949466040703e-08,2.83957933480538e-12,0.345992624299162,0.118773908934172
5532,5038,0.185590128666493,1.59202371209439e-09,0.319851024960917,1.32571293361749e-10,4.13013778724785e-11,3.6449676940987e-13,0.432981850208062,0.0615769943982672
3808,8994,0.292691092753,1.96366820080299e-06,0.348730071458367,7.46143126357379e-08,1.41773125856802e-06,8.7429170845464e-09,0.285513886867689,0.0730614841642548
8702,4560,0.278015419952572,0.00121191235752747,0.36723918210422,5.04968759976959e-05,0.107314677214363,0.000279851282507794,0.146497714447286,0.0993907457655259
4153,8634,0.15308657440309,0.000145363952721192,0.45305126368504,5.65847290236336e-06,0.00213833885758045,1.05667141926402e-07,0.311778327755543,0.0797943672059811
7944,4440,0.0182831237185125,0.00027316480479556,0.479391569498461,1.10657914511504e-05,0.194051894635407,6.35696579217594e-06,0.172792497775261,0.13519032681032
