"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"SRRM3",1.90324879096689,0.202,0.076,0.126,1.08136231124226e-43,2.56693785442687e-39,"2"
"VGF",2.639575461434,0.173,0.042,0.131,5.84125136517202e-67,1.38659624906453e-62,"3"
"RGS6",2.61483512513799,0.128,0.032,0.096,2.21585218062903e-47,5.25998990637719e-43,"3"
"TNFRSF12A",2.43056853644639,0.252,0.069,0.183,1.11414760433343e-87,2.6447635831667e-83,"3"
"CITED1",2.33274447767957,0.11,0.026,0.084,1.07609746279478e-43,2.55444015718224e-39,"3"
"KLHL4",2.26445412446272,0.134,0.037,0.097,5.98489819602576e-43,1.4206951337726e-38,"3"
"LPL",2.2484139083653,0.427,0.136,0.291,6.85796089895525e-138,1.627942758194e-133,"3"
"PLAT",2.20080212460627,0.342,0.109,0.233,1.29196027825183e-99,3.06685530851419e-95,"3"
"SPRY1",2.20074700974164,0.168,0.045,0.123,1.30236682304782e-56,3.09155836455091e-52,"3"
"TNC",2.19489737984898,0.366,0.116,0.25,2.68189122322401e-111,6.36627338568916e-107,"3"
"CYTOR",2.17730186019185,0.155,0.051,0.104,5.18294879391241e-40,1.23032838469893e-35,"3"
"POSTN",2.15948306412397,0.104,0.027,0.077,3.95545508090779e-37,9.38945927105892e-33,"3"
"GNG11",2.1192708586233,0.141,0.044,0.097,1.17365882066343e-39,2.78603130849086e-35,"3"
"KCNIP1",2.08573747155111,0.132,0.04,0.092,1.60905761187439e-37,3.81958095906743e-33,"3"
"PTX3",2.07880638858371,0.117,0.041,0.076,1.33096695251672e-26,3.15944935188419e-22,"3"
"FABP7",2.05695669267431,0.863,0.431,0.432,2.34616918445468e-278,5.56933641005851e-274,"3"
"IGFBP3",2.05204669420998,0.163,0.041,0.122,7.32044610657453e-59,1.73772749677866e-54,"3"
"SYTL2",2.00320447293725,0.166,0.057,0.109,1.65182924957438e-40,3.92111227263966e-36,"3"
"TNFRSF19",1.96087512195306,0.142,0.043,0.099,1.19721773564385e-40,2.84195546087138e-36,"3"
"NEK6",1.9558088872586,0.184,0.067,0.117,1.3984475105452e-40,3.3196347005322e-36,"3"
"SLC1A3",1.93809347767252,0.459,0.163,0.296,3.0347009446443e-125,7.20377310239663e-121,"3"
"CCDC80",1.92973383470434,0.297,0.099,0.198,7.21352118670056e-79,1.71234565929898e-74,"3"
"ST8SIA5",1.91974365735169,0.204,0.07,0.134,4.66548851964301e-49,1.10749366479286e-44,"3"
"STK17A",1.91401714607518,0.275,0.103,0.172,2.20214987741997e-61,5.22746337901954e-57,"3"
"LAMA4",1.81442685635952,0.227,0.083,0.144,1.07361416014494e-50,2.54854529335206e-46,"3"
"VIM",1.78487033232052,0.756,0.286,0.47,3.13887474457587e-232,7.45106086867419e-228,"3"
"SPATA6",1.77459978088434,0.138,0.06,0.078,2.77531574173585e-22,6.58804450773257e-18,"3"
"NES",1.76971287285212,0.643,0.271,0.372,1.74706087207363e-163,4.14717309812838e-159,"3"
