"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
4.50100477997034e-145,3.28212271833239,0.211,0.029,1.06844851466936e-140,"1","CENPM",0.182
1.35858655842393e-159,3.27464542513315,0.224,0.029,3.22501277238673e-155,"1","ZWINT",0.195
8.30778381324196e-302,3.27314760824328,0.43,0.063,1.97210172158738e-297,"1","MCM3",0.367
0,3.23916416709998,0.534,0.079,0,"1","ATAD2",0.455
3.04417629401666e-94,3.21664731756276,0.129,0.016,7.22626568673674e-90,"1","PKMYT1",0.113
0,3.21476900886729,0.566,0.094,0,"1","MCM4",0.472
2.33941559215185e-169,3.21435033643558,0.254,0.037,5.55330473265005e-165,"1","DHFR",0.217
0,3.18452266564992,0.557,0.101,0,"1","PCNA",0.456
9.38314547067225e-243,3.17878540976646,0.329,0.042,2.22737107182818e-238,"1","XRCC2",0.287
1.24722872974081e-181,3.16566709786569,0.243,0.029,2.96067155865874e-177,"1","WDR76",0.214
1.00639255305324e-165,3.12237515664109,0.237,0.032,2.38897464243778e-161,"1","CDCA5",0.205
0,3.08985222629787,0.937,0.668,0,"1","HIST1H4C",0.269
1.01661065195238e-128,3.07277788566801,0.189,0.026,2.41323036560456e-124,"1","FANCD2",0.163
1.74095220089948e-195,7.0080605746159,0.14,0.003,4.1326723344952e-191,"2","TAC3",0.137
0,5.6515623032983,0.324,0.011,0,"2","NHLH1",0.313
4.6525979047019e-134,5.31499367510038,0.107,0.004,1.10443369061814e-129,"2","RP11-672L10.2",0.103
2.52714125114975e-268,4.95320260701924,0.355,0.048,5.99892790197927e-264,"2","ROBO3",0.307
0,4.51272629338694,0.338,0.023,0,"2","KLHL35",0.315
1.98809319791548e-296,4.3144244371841,0.357,0.039,4.71933563321176e-292,"2","CRABP1",0.318
1.54124888981867e-79,3.47811212914998,0.12,0.016,3.65861661465157e-75,"2","RP3-431P23.5",0.104
1.51170980045824e-50,3.16074096159095,0.103,0.02,3.58849672432777e-46,"2","SSTR2",0.083
7.21306156024107e-295,3.14679504050196,0.548,0.126,1.71223655317002e-290,"2","RND3",0.422
1.48345615934692e-183,2.85289426745,0.377,0.083,3.52142823105773e-179,"2","MYT1L",0.294
6.51889322850686e-93,2.77430127724209,0.285,0.088,1.54745487458296e-88,"2","ROBO2",0.197
5.53922611195758e-53,2.53631344906141,0.157,0.043,1.31490149445649e-48,"2","HRK",0.114
1.32665926473694e-185,2.48640851399465,0.58,0.23,3.14922376263255e-181,"2","THSD7A",0.35
1.10424117691011e-124,2.46861331710307,0.447,0.178,2.62124770574923e-120,"2","CTC-358I24.1",0.269
4.76051297879251e-43,2.33890029702249,0.156,0.05,1.13005057090577e-38,"2","ST8SIA3",0.106
0,2.30832147628412,0.793,0.285,0,"2","STMN2",0.508
9.59724241206073e-62,2.29704401468264,0.244,0.086,2.27819340377498e-57,"2","ONECUT2",0.158
1.05776268148804e-32,2.29507559082391,0.142,0.052,2.51091705331631e-28,"2","CACNA2D1",0.09
3.73597663358013e-96,2.27379980911375,0.307,0.096,8.8684613327925e-92,"2","NSG1",0.211
1.34855333483047e-33,2.26499200134692,0.123,0.039,3.20119590622058e-29,"2","AC013402.2",0.084
1.07724293926846e-115,2.24864189424578,0.47,0.195,2.55715928923547e-111,"2","RBP1",0.275
1.31563927870593e-163,2.2126250234537,0.524,0.19,3.12306451979215e-159,"2","MIAT",0.334
3.50906371930194e-33,2.12616617925879,0.136,0.047,8.32981545687893e-29,"2","DCC",0.089
1.3763473838029e-28,2.04155601501776,0.145,0.058,3.26717341967132e-24,"2","CBFA2T2",0.087
2.84140948741657e-179,2.01766627732818,0.612,0.243,6.74493784122946e-175,"2","STMN4",0.369
1.69490183788128e-30,1.97957111268853,0.128,0.045,4.02335798276257e-26,"2","IGSF3",0.083
1.97279756144794e-167,1.97079132919004,0.58,0.227,4.68302685136513e-163,"2","ELAVL4",0.353
1.24329948503495e-23,1.92542853223596,0.119,0.046,2.95134431757596e-19,"2","AC004540.4",0.073
1.66206558433674e-14,1.92429028064805,0.119,0.06,3.94541128409856e-10,"2","NPTXR",0.059
1.08136231124226e-43,1.90324879096689,0.202,0.076,2.56693785442687e-39,"2","SRRM3",0.126
5.84125136517202e-67,2.639575461434,0.173,0.042,1.38659624906453e-62,"3","VGF",0.131
2.21585218062903e-47,2.61483512513799,0.128,0.032,5.25998990637719e-43,"3","RGS6",0.096
1.11414760433343e-87,2.43056853644639,0.252,0.069,2.6447635831667e-83,"3","TNFRSF12A",0.183
1.07609746279478e-43,2.33274447767957,0.11,0.026,2.55444015718224e-39,"3","CITED1",0.084
5.98489819602576e-43,2.26445412446272,0.134,0.037,1.4206951337726e-38,"3","KLHL4",0.097
6.85796089895525e-138,2.2484139083653,0.427,0.136,1.627942758194e-133,"3","LPL",0.291
1.29196027825183e-99,2.20080212460627,0.342,0.109,3.06685530851419e-95,"3","PLAT",0.233
