"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"LGI3",9.70068206471648,0.162,0,0.162,2.83958910759025e-183,6.81785344732419e-179,"10"
"MYRF",9.55487784120015,0.459,0.002,0.457,0,0,"10"
"RP11-597D13.7",9.53770396728999,0.243,0.001,0.242,2.46086124527421e-228,5.90852784990338e-224,"10"
"HHIP",9.47084817528091,0.297,0.001,0.296,6.58016536507842e-279,1.57989770415533e-274,"10"
"AATK",9.4342850913087,0.676,0.003,0.673,0,0,"10"
"KCNH8",9.29554013526719,0.108,0,0.108,1.93756207464215e-102,4.65208654121581e-98,"10"
"SDPR",14.191952998834,0.158,0,0.158,5.08092297616214e-298,1.21992960657653e-293,"11"
"COX7A1",13.5216968695362,0.158,0,0.158,5.08092297616214e-298,1.21992960657653e-293,"11"
"ADGRF5",13.4213783251233,0.158,0,0.158,5.08092297616214e-298,1.21992960657653e-293,"11"
"LAMC3",13.3852345098046,0.105,0,0.105,2.32910291051168e-199,5.59217608813853e-195,"11"
"DCN",13.335673772464,0.789,0.001,0.788,0,0,"11"
"COL3A1",13.0801356944747,0.789,0.001,0.788,0,0,"11"
"ISLR",12.5639306502992,0.211,0,0.211,4.83605580920062e-227,1.16113699978907e-222,"11"
"MYO1B",11.8820108665601,0.632,0,0.632,0,0,"11"
"ASPN",11.7655066706937,0.105,0,0.105,2.90788766506631e-67,6.98183828382422e-63,"11"
"HIGD1B",11.7320804652397,0.158,0,0.158,8.40124892470792e-224,2.01713986682237e-219,"11"
"SEMA3F",11.2016185486158,0.105,0,0.105,2.4225932549001e-133,5.81664640501514e-129,"11"
"ENPEP",10.2242774416612,0.158,0.001,0.157,4.93603381668031e-100,1.18514171938494e-95,"11"
"COL6A3",10.1700387067219,0.368,0.001,0.367,0,0,"11"
"NEFH",10.1603548356894,0.105,0,0.105,2.57754880212072e-100,6.18869467389185e-96,"11"
"COL15A1",10.0713829871767,0.316,0,0.316,0,0,"11"
"NR2F2",9.972161515691,0.526,0.001,0.525,0,0,"11"
"ADGRA2",9.81282074566675,0.158,0,0.158,1.55273914444002e-149,3.72812668580049e-145,"11"
"ITM2A",9.6662885743141,0.105,0,0.105,1.73094522852307e-80,4.1559994936839e-76,"11"
"CD248",9.47548943388607,0.263,0.001,0.262,6.4367090014698e-191,1.5454538312529e-186,"11"
"STRA6",9.27782354886148,0.105,0,0.105,2.78790548177609e-133,6.69376106174438e-129,"11"
"LUM",9.26330185803083,0.368,0.001,0.367,2.85809909033382e-303,6.8622959158915e-299,"11"
"PEAR1",9.16947531136514,0.158,0,0.158,2.6806415435226e-128,6.43622034599777e-124,"11"
"RP1-186E20.2",9.01702077614785,0.158,0,0.158,2.80430395465917e-128,6.73313379513666e-124,"11"
"FLT1",8.88504011685541,0.105,0,0.105,1.80539359810512e-80,4.33475002905039e-76,"11"
"VGLL3",8.47351545400124,0.105,0,0.105,3.23056927449809e-67,7.7565968280699e-63,"11"
"FBLN2",8.43096930237511,0.211,0.004,0.207,2.26696238598367e-42,5.44297668874679e-38,"11"
"CFH",8.41660988943067,0.316,0.002,0.314,6.60551762558806e-170,1.58598478190369e-165,"11"
"COL1A1",8.39168983598005,0.684,0.022,0.662,3.3110108262369e-85,7.94973699379479e-81,"11"
"PGF",8.10094119276359,0.211,0.003,0.208,3.4229112843669e-47,8.21840999376494e-43,"11"
"ICAM2",7.96379430575019,0.158,0.001,0.157,3.09347275030176e-60,7.42742807347451e-56,"11"
