"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
7.78963815170938e-149,3.20628389909408,0.214,0.024,1.83251237518963e-144,"4","EGFL6",0.19
8.21597261848603e-66,3.14577628442097,0.153,0.03,1.93280755849884e-61,"4","MAP7D2",0.123
1.34678328389418e-71,3.08726855868045,0.153,0.028,3.16830767536107e-67,"4","RP11-152P17.2",0.125
9.36637117338056e-73,3.08324688842834,0.103,0.011,2.20343881853778e-68,"4","PAX8-AS1",0.092
5.18961057813301e-70,3.06924420934309,0.115,0.015,1.22085588850579e-65,"4","MLPH",0.1
2.85504028297216e-53,3.01733149658623,0.112,0.02,6.716482265692e-49,"4","PAPPA2",0.092
9.84542795685377e-98,3.00166157445479,0.183,0.028,2.31613692684985e-93,"4","TBX2",0.155
1.15736080619001e-108,2.89969106702392,0.244,0.047,2.72269129656201e-104,"4","MYRIP",0.197
3.71263182328811e-165,2.85503586089495,0.361,0.07,8.73396636428527e-161,"4","DPP4",0.291
7.17104679610863e-122,2.84894290986442,0.271,0.053,1.68698875878456e-117,"4","KCNK12",0.218
5.44692118093696e-47,2.83168393723246,0.102,0.018,1.28138820781542e-42,"4","MMP2",0.084
1.26042633093991e-74,2.81606914894268,0.137,0.02,2.96515294353614e-70,"4","FAM108C1",0.117
4.66003285192295e-88,2.77923156927575,0.207,0.042,1.09627272841487e-83,"4","SOD3",0.165
5.20094178527624e-62,2.7660785506296,0.132,0.023,1.22352155498624e-57,"4","ASTN2",0.109
4.19164117341285e-156,2.7007934156221,0.33,0.061,9.86083586045373e-152,"4","SNX22",0.269
8.09464284311669e-147,2.69573323815239,0.272,0.043,1.9042647288432e-142,"4","RCAN2",0.229
2.78543489795741e-195,2.67355159476516,0.484,0.113,6.55273559744482e-191,"4","TRIM38",0.371
1.0686430430181e-100,2.64715235933997,0.218,0.04,2.51398275870008e-96,"4","MARVELD3",0.178
1.31366606921604e-93,5.25197035458544,0.111,0.006,3.09039942783073e-89,"5","NEIL3",0.105
1.22302254260326e-104,4.95121892088092,0.145,0.011,2.87716053147417e-100,"5","NEK2",0.134
3.19290696202051e-125,4.84106879179921,0.178,0.014,7.51131362815325e-121,"5","FAM64A",0.164
1.19605386845171e-306,4.77660691830218,0.394,0.027,2.81371672553265e-302,"5","ASPM",0.367
1.44185386729663e-222,4.72372745841884,0.308,0.023,3.39196122281532e-218,"5","TTK",0.285
1.98727799075704e-152,4.70274784592959,0.203,0.014,4.67507147325594e-148,"5","CDCA3",0.189
0,4.66104688960013,0.811,0.079,0,"5","TOP2A",0.732
9.77827858460402e-141,4.6551284646506,0.178,0.011,2.3003400370281e-136,"5","KIFC1",0.167
8.81878474745269e-160,4.63792479125039,0.226,0.017,2.07461911183825e-155,"5","HJURP",0.209
5.08044827304141e-225,4.60229049860177,0.3,0.021,1.19517545623299e-220,"5","CKAP2L",0.279
2.61406219265356e-225,4.59589544769505,0.31,0.023,6.1495813082175e-221,"5","BUB1B",0.287
6.84605312826365e-185,4.57652227514088,0.254,0.019,1.61053399842402e-180,"5","SPC25",0.235
6.3791970484709e-176,4.56106827030992,0.26,0.022,1.50070610565278e-171,"5","SGO1",0.238
1.1074673026132e-99,4.55024124272239,0.147,0.012,2.60531682939756e-95,"5","TROAP",0.135
1.31559247219954e-287,4.54593030317082,0.386,0.028,3.09493129084941e-283,"5","NUF2",0.358
0,4.44658987948078,0.614,0.051,0,"5","MKI67",0.563
3.14485556568442e-123,4.41337319124138,0.185,0.015,7.39827271827259e-119,"5","AURKB",0.17
1.57764610383595e-240,4.41230301854916,0.348,0.029,3.71141245927406e-236,"5","KIF15",0.319
2.55899627018147e-130,4.35818914235215,0.193,0.016,6.02003872560191e-126,"5","ARHGAP11A",0.177
2.76627060703505e-175,4.33794298409337,0.272,0.024,6.50765160304995e-171,"5","CDC20",0.248
1.76363815368434e-82,4.31330506383974,0.119,0.009,4.14895875654241e-78,"5","SKA1",0.11
1.09279847293986e-179,4.27241327834547,0.283,0.026,2.57080840759103e-175,"5","CCNB2",0.257
2.02610391424936e-178,4.19786769810242,0.283,0.026,4.76640945827162e-174,"5","TACC3",0.257
0,4.19444983144021,0.438,0.032,0,"5","UBE2C",0.406
1.47975776957962e-224,4.15123321809765,0.352,0.032,3.48113015293606e-220,"5","NCAPG",0.32
0,4.13390760657912,0.721,0.11,0,"5","NUSAP1",0.611
3.33875401316749e-81,4.12328639322468,0.134,0.013,7.85441881597653e-77,"5","GAS2L3",0.121
3.99820396528701e-142,4.11023675856729,0.22,0.019,9.40577482833768e-138,"5","CDCA5",0.201
6.22131675460226e-253,4.09619228961666,0.402,0.038,1.46356476652018e-248,"5","PBK",0.364
