"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"ENC1",2.18473333621109,0.336,0.11,0.226,3.46678587353325e-126,8.6894987920111e-122,"7"
"ASCL1",2.17349911225224,0.12,0.037,0.083,2.8661330342653e-43,7.18396245038597e-39,"7"
"CHD7",2.16159575645889,0.354,0.117,0.237,4.11802830051064e-130,1.03218379352299e-125,"7"
"MTSS1",2.14355824004943,0.105,0.029,0.076,6.47638236838641e-46,1.62330524063605e-41,"7"
"NIN",1.97143736200377,0.346,0.125,0.221,1.24350844078293e-112,3.11685390682242e-108,"7"
"BCL7A",1.96173985836625,0.137,0.047,0.09,7.02770966467915e-42,1.76149542745183e-37,"7"
"CHRNA1",1.94361330865987,0.236,0.088,0.148,8.5345046922884e-66,2.13917360112209e-61,"7"
"PCBP4",1.90043184488396,0.108,0.038,0.07,8.04799896732974e-31,2.0172309411612e-26,"7"
"VGF",3.11854723936818,0.114,0.013,0.101,2.05100259267135e-128,5.14083799853074e-124,"8"
"CHRNA9",3.03840020017613,0.13,0.012,0.118,5.34514540024946e-181,1.33976069457253e-176,"8"
"SERPINE1",2.99971447657565,0.199,0.024,0.175,2.49616555321567e-216,6.25663895913509e-212,"8"
"IGFBP3",2.79534954326716,0.594,0.094,0.5,0,0,"8"
"IGF2BP2",2.61093692602083,0.101,0.014,0.087,3.05450260219275e-95,7.65611077239613e-91,"8"
"HMGA1",2.57482109389851,0.178,0.026,0.152,2.80134161976655e-157,7.02156276994487e-153,"8"
"TNFRSF12A",2.3222646065785,0.551,0.119,0.432,0,0,"8"
"METTL7B",2.32196103762793,0.524,0.114,0.41,0,0,"8"
"EMP1",2.31328325865587,0.429,0.105,0.324,4.06196379768104e-221,1.01813122588875e-216,"8"
"POSTN",2.27495029824902,0.683,0.182,0.501,0,0,"8"
"PKIB",2.24435518099412,0.449,0.096,0.353,3.58167253731366e-270,8.97746221477669e-266,"8"
"SLC27A3",2.09822983641486,0.146,0.028,0.118,1.69010121630074e-95,4.2362386986578e-91,"8"
"C6orf141",2.09785700951234,0.171,0.035,0.136,3.62735923518694e-102,9.09197592299606e-98,"8"
"PDLIM4",1.98524849478568,0.289,0.069,0.22,5.14349379091893e-145,1.28921671869383e-140,"8"
"SEMA3A",1.96765207732282,0.113,0.026,0.087,1.02314901743366e-57,2.56452301219748e-53,"8"
