"CellID","Interval","BaselineCellType","TargetCellType","Changed"
43617,"TF1→TF2","Fibroblasts","Neurons",TRUE
43618,"TF1→TF2","Mesenchymal cells","Neurons",TRUE
43619,"TF1→TF2","Fibroblasts","Neurons",TRUE
43620,"TF1→TF2","Endothelial cells","Neutrophils",TRUE
43621,"TF1→TF2","Neutrophils","Neutrophils",FALSE
43622,"TF1→TF2","Astrocytes","Astrocytes",FALSE
43623,"TF1→TF2","Fibroblasts","Neurons",TRUE
43624,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43625,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43626,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43627,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43628,"TF1→TF2","Endothelial cells","Astrocytes",TRUE
43629,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43630,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43631,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43632,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43633,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43634,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43635,"TF1→TF2","Astrocytes","Neutrophils",TRUE
43636,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43637,"TF1→TF2","Fibroblasts","Proliferation",TRUE
43638,"TF1→TF2","Endothelial cells","Fibroblasts",TRUE
43639,"TF1→TF2","Macrophages/Microglia cells","Astrocytes",TRUE
43640,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43641,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43642,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43643,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43644,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43645,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43646,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43647,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43648,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43649,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43650,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43651,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43652,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43653,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43654,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43655,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43656,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43657,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43658,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43659,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43660,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43661,"TF1→TF2","Neutrophils","Astrocytes",TRUE
43662,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43663,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43664,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43665,"TF1→TF2","Astrocytes","Neutrophils",TRUE
43666,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43667,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43668,"TF1→TF2","Astrocytes","Fibroblasts",TRUE
43669,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43670,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43671,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43672,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43673,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43674,"TF1→TF2","Fibroblasts","Neurons",TRUE
43675,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43676,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
43677,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43678,"TF1→TF2","Fibroblasts","Neurons",TRUE
43679,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43680,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43681,"TF1→TF2","Astrocytes","Astrocytes",FALSE
