"Time","CellType","CentroidX","CentroidY","TotalAbundance","Dispersion","VarX","VarY","CovXY","MajorAxis","MinorAxis","Angle"
"TF2","Macrophages",12798.8594909084,10935.2657644033,173.556984428187,4662.79886473935,7293868.31358231,14447824.9394323,718565.661426484,3810.41809806632,2687.45365931083,84.3206259998891
"TF2","Mural.cells",12505.2779253243,10040.0671655182,96.3571661414143,4568.90102085066,7752772.8784739,13122083.6598563,344885.881056059,3625.48562170933,2780.41553461152,86.3397790104386
"TF2","TMSB4X.high.cells",12685.3869988617,12011.1364894256,25.2253529292005,4360.37054640869,6263517.75660996,12749313.5453784,418792.147353431,3574.38713858783,2497.31613647257,86.3207368517761
"TF2","Valve.cells",12625.3323888708,11786.9665970949,194.655208544422,4336.67889113963,6420141.9019135,12386641.9029425,111709.789540869,3519.76315881314,2533.38728004973,88.9277615959905
"TF2","Vascular.endothelial.cells",12484.1716552685,10736.2445701253,91.423507451253,4633.06511556755,8051565.96766507,13413726.3974239,1055913.48519336,3689.73764769508,2801.98651964468,79.2517769317877
"TF3","Cardiomyocytes",12738.4332411299,10712.2525896341,312.622465879978,4736.16796752302,7900833.80705744,14530453.2095337,711955.885955256,3821.78600701137,2797.36281758432,83.9390755168075
"TF3","Endocardial.cells",12524.4152143158,10301.0265194714,512.980922718184,4659.64929683194,7649340.41131703,14062991.1581494,664808.94908629,3759.14581015712,2753.38961054273,84.1439411586752
"TF3","Epi.epithelial.cells",13177.6946458032,11726.4523814606,120.894265035811,5088.32336181867,11582018.5336602,14309016.1007694,-1384245.05981377,3858.56462973163,3317.00371308409,112.716295905155
"TF3","Epi.mesenchymal.cells",12732.0077471761,11517.4551126158,144.502569223573,4627.26388245684,7072922.98048892,14338648.0574006,878675.130708551,3800.44731040408,2639.72939498199,83.2015407278367
"TF3","Erythrocytes",12970.0952522388,11897.8695055319,112.238965681562,4641.79050544875,8263201.16201155,13283017.9344626,1066355.9462065,3674.25516340358,2836.55919921942,78.4906873413371
"TF3","Fibroblast.cells",13190.4534188332,11651.5469647951,124.699621078633,4636.96038282824,8183750.61034455,13317650.981574,657864.976477443,3660.68438268529,2846.18893299138,82.8127310554828
"TF3","Immature.myocardial.cells",12767.6570707304,10790.0098048719,190.493280061807,4695.89387353645,8038422.53488046,14012996.7366367,554124.66027063,3750.19407109357,2826.21013030734,84.7457007411912
"TF3","Macrophages",12876.1508554691,11657.3992840782,86.3988039669847,4639.74926802977,7380346.30943834,14146926.9607445,1035902.80839992,3781.79352103289,2687.99386800947,81.4881757579413
"TF3","Mural.cells",12819.3456584001,10287.9571989804,76.1583836712334,4565.23650201609,7648225.62309674,13193158.6962433,410660.764104006,3636.40034141353,2760.06827384897,85.7872740163333
"TF3","TMSB4X.high.cells",12937.513207264,12024.9354748673,34.3941662806902,4281.89609431191,5910660.95855873,12423973.2039249,-204553.265519937,3525.6759579188,2429.86485266916,91.7970369157106
"TF3","Valve.cells",12786.9388985393,12932.7058766228,90.046210117324,3738.74945569093,5530454.31099704,8447793.1814322,-665708.334817849,2931.30029551555,2320.71671471114,102.265516486653
"TF3","Vascular.endothelial.cells",12670.87752243,11159.3478210249,158.570346284219,4630.77521088245,8102180.38345179,13341898.6702717,854009.921142925,3671.18216270128,2822.49899592318,80.9726499670411
