"CellID","Interval","BaselineCellType","TargetCellType","Changed"
262,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
263,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
264,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
265,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
266,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
267,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
268,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
269,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
270,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
271,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
272,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
273,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
274,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
275,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
276,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
277,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
278,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
279,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
280,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
281,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
282,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
283,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
284,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
285,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
286,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
287,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
288,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
289,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
290,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
291,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
292,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
293,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
294,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
295,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
296,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
297,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
298,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
299,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
300,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
301,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
302,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
303,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
304,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
305,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
306,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
307,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
308,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
309,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
310,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
311,"TF0→TF1","TMSB4X high cells","Immature myocardial cells",TRUE
312,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
313,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
314,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
315,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
316,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
317,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
318,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
319,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
320,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
321,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
322,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
323,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
324,"TF0→TF1","TMSB4X high cells","Cardiomyocytes",TRUE
325,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
326,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
327,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
328,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
329,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
330,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
331,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
332,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
333,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
334,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
335,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
336,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
337,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
338,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
339,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
340,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
341,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
342,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
343,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
344,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
345,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
346,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
347,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
348,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
349,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
350,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
351,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
352,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
353,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
354,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
355,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
356,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
357,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
358,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
359,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
360,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
361,"TF0→TF1","TMSB4X high cells","Valve cells",TRUE
362,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
363,"TF0→TF1","Cardiomyocytes","Fibroblast cells",TRUE
364,"TF0→TF1","TMSB4X high cells","Fibroblast cells",TRUE
365,"TF0→TF1","TMSB4X high cells","Valve cells",TRUE
366,"TF0→TF1","TMSB4X high cells","Fibroblast cells",TRUE
367,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
368,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
369,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
370,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
371,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
372,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
373,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
374,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
375,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
376,"TF0→TF1","Cardiomyocytes","Fibroblast cells",TRUE
377,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
378,"TF0→TF1","TMSB4X high cells","Valve cells",TRUE
379,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
380,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
381,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
382,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
383,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
384,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
385,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
386,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
387,"TF0→TF1","TMSB4X high cells","Endocardial cells",TRUE
388,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
389,"TF0→TF1","Endocardial cells","Endocardial cells",FALSE
